date	macro_dimension	dimension	gender	frequency
2021-06-06	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2021-06-06	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	8
2021-06-06	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-07	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2021-06-07	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-07	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-06-07	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-06-08	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	6
2021-06-08	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-06-08	Willingness to take action	Active-agentic	undefined	3
2021-06-08	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2021-06-09	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-09	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-06-09	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-06-09	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-10	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-10	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-06-10	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-06-11	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-11	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-06-11	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-06-12	Willingness to take action	Active-agentic	undefined	1
2021-06-12	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-06-12	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-06-13	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-13	Willingness to take action	Active-agentic	undefined	1
2021-06-13	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-06-13	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-06-13	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-06-13	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-06-14	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-14	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-14	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2021-06-14	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-15	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-15	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-06-15	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-06-15	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-15	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-16	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-06-16	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-06-16	Willingness to take action	Active-agentic	undefined	1
2021-06-16	Conditionality-Variables Shaping outlook	Leadership	undefined	7
2021-06-16	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-06-16	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	6
2021-06-17	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-06-17	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-17	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-18	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	9
2021-06-18	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-18	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-06-18	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	4
2021-06-18	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-19	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2021-06-19	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-06-19	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-06-19	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-20	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-20	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-06-20	Conditionality-Variables Shaping outlook	Leadership	undefined	8
2021-06-21	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-06-21	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2021-06-21	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2021-06-21	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-06-22	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-22	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-06-22	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-06-22	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-06-22	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-06-23	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-23	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	9
2021-06-23	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-06-24	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-24	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-06-24	Willingness to take action	Active-agentic	undefined	1
2021-06-24	Conditionality-Variables Shaping outlook	Leadership	undefined	69
2021-06-25	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-25	Willingness to take action	Active-agentic	undefined	1
2021-06-26	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	8
2021-06-26	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-26	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-06-26	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-26	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-27	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2021-06-27	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-06-27	Willingness to take action	Active-agentic	undefined	1
2021-06-27	Conditionality-Variables Shaping outlook	Leadership	undefined	64
2021-06-27	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-28	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-28	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-28	Willingness to take action	Active-agentic	undefined	1
2021-06-28	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2021-06-28	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-28	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-06-29	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-06-29	Willingness to take action	Active-agentic	undefined	1
2021-06-29	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-06-29	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-30	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-06-30	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-06-30	Willingness to take action	Active-agentic	undefined	2
2021-06-30	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-06-30	Conditionality-Variables Shaping outlook	Collective Action	undefined	7
2021-06-30	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-30	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-01	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-04-01	Willingness to take action	Active-agentic	undefined	1
2021-04-01	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-04-01	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-02	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-04-02	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2021-04-02	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2021-04-02	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-04-02	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-02	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-03	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-04-03	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2021-04-03	Willingness to take action	Active-agentic	undefined	1
2021-04-03	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2021-04-03	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-03	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-04	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	8
2021-04-04	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	7
2021-04-04	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-04	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-04	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	8
2021-04-04	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-04-05	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	10
2021-04-05	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-04-05	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-04-05	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	11
2021-04-06	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2021-04-06	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-04-06	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-06	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-04-06	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-07	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-04-07	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-08	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2021-04-08	Willingness to take action	Active-agentic	undefined	2
2021-04-08	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-08	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-08	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-09	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2021-04-09	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-04-09	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-04-09	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-09	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-10	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-04-10	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-04-10	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2021-04-10	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-10	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-04-11	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	8
2021-04-11	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2021-04-11	Conditionality-Variables Shaping outlook	Leadership	undefined	8
2021-04-11	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-12	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-04-12	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-04-12	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-13	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	7
2021-04-13	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-04-13	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-04-13	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-14	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-04-14	Willingness to take action	Active-agentic	undefined	1
2021-04-14	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-04-14	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-14	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-15	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2021-04-15	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2021-04-15	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-04-15	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-15	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-16	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-04-16	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-04-16	Willingness to take action	Active-agentic	undefined	1
2021-04-16	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-16	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-04-16	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-17	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-04-17	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-04-18	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-04-18	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-04-18	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-18	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-19	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-04-19	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-04-19	Willingness to take action	Active-agentic	undefined	1
2021-04-19	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-04-19	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-04-20	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-04-20	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-04-20	Willingness to take action	Active-agentic	undefined	1
2021-04-20	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-04-20	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-04-20	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-21	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	6
2021-04-21	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-04-21	Willingness to take action	Active-agentic	undefined	3
2021-04-21	Conditionality-Variables Shaping outlook	Leadership	undefined	7
2021-04-21	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-21	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-22	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-04-22	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-04-22	Willingness to take action	Active-agentic	undefined	1
2021-04-22	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-04-22	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-22	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-23	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	14
2021-04-23	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2021-04-23	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-23	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-24	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	11
2021-04-24	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	10
2021-04-24	Conditionality-Variables Shaping outlook	Leadership	undefined	10
2021-04-25	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	6
2021-04-25	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-04-25	Willingness to take action	Active-agentic	undefined	2
2021-04-25	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2021-04-25	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-04-26	Willingness to take action	Active-agentic	undefined	1
2021-04-26	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-26	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-26	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-04-26	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-04-27	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-04-27	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2021-04-27	Willingness to take action	Active-agentic	undefined	1
2021-04-27	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-04-27	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-28	Willingness to take action	Active-agentic	undefined	1
2021-04-28	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-04-28	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-04-28	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-04-29	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-04-29	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-04-29	Willingness to take action	Active-agentic	undefined	2
2021-04-29	Conditionality-Variables Shaping outlook	Leadership	undefined	7
2021-04-29	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-04-29	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-04-30	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-04-30	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-04-30	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-01	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2021-03-01	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-03-01	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2021-03-01	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-03-01	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-01	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-02	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-03-02	Willingness to take action	Active-agentic	undefined	1
2021-03-02	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-02	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-02	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	5
2021-03-03	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-03-03	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-03	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-03-04	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-03-04	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-03-04	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-05	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-03-05	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-03-05	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-06	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-03-06	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-03-06	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-03-06	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	3
2021-03-07	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-03-07	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-03-07	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-03-07	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-08	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	6
2021-03-08	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-03-08	Willingness to take action	Active-agentic	undefined	1
2021-03-08	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-03-08	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-03-09	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-03-10	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-03-10	Conditionality-Variables Shaping outlook	Leadership	undefined	7
2021-03-10	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	4
2021-03-11	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2021-03-11	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-11	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-11	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-03-12	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-03-12	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-03-12	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-03-12	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-13	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-03-13	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-03-13	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-03-13	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-03-13	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-03-13	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-14	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-03-14	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-03-14	Willingness to take action	Active-agentic	undefined	1
2021-03-14	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2021-03-14	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-03-15	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-03-16	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-03-16	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-03-16	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-03-16	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-03-16	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-17	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-03-17	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2021-03-17	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-17	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-18	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2021-03-18	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-03-18	Willingness to take action	Active-agentic	undefined	5
2021-03-18	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-03-19	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-03-19	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2021-03-19	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-03-19	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-03-19	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-20	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-03-20	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-03-20	Willingness to take action	Active-agentic	undefined	1
2021-03-20	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-03-20	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-20	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-21	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2021-03-21	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2021-03-21	Willingness to take action	Active-agentic	undefined	1
2021-03-21	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-21	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-21	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2021-03-22	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-03-22	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-03-23	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-03-23	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2021-03-23	Willingness to take action	Active-agentic	undefined	1
2021-03-23	Conditionality-Variables Shaping outlook	Leadership	undefined	35
2021-03-23	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-03-23	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-03-24	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	7
2021-03-24	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-03-24	Willingness to take action	Active-agentic	undefined	1
2021-03-24	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-03-24	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2021-03-25	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2021-03-25	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
