date	column	frequency
2019-05-20	Disease dehumanization	852.1191
2019-05-20	sports	7
2019-05-20	joy	67.26
2019-05-20	pride	13.99
2019-05-20	anger	3.81
2019-05-20	sad	38.03
2019-05-20	disgust	3.12
2019-05-20	love	35.75
2019-05-20	fear	1.68
2019-05-21	socio-political content	1025.6751
2019-05-21	COVID19 content	358.3829
2019-05-21	Negative Valence	922.5174
2019-05-21	Aggression	448.5283
2019-05-21	Target other countries	549.06
2019-05-21	Target religious sect	576.1928
2019-05-21	Target sexual orientation	204.0268
2019-05-21	Disease dehumanization	833.9313
2019-05-21	sports	15
2019-05-21	joy	65.11
2019-05-21	pride	9.87
2019-05-21	anger	4.8
2019-05-21	sad	24.34
2019-05-21	disgust	0
2019-05-21	love	58.49
2019-05-21	fear	4.68
2019-05-22	socio-political content	959.2846
2019-05-22	COVID19 content	326.0467
2019-05-22	Negative Valence	873.8393
2019-05-22	Aggression	394.3558
2019-05-22	Target other countries	511.88
2019-05-22	Target religious sect	507.7106
2019-05-22	Target sexual orientation	210.6009
2019-05-22	Disease dehumanization	762.028
2019-05-22	sports	21
2019-05-22	joy	51.25
2019-05-22	pride	7.5
2019-05-22	anger	5.67
2019-05-22	sad	29.93
2019-05-22	disgust	0
2019-05-22	love	33.76
2019-05-22	fear	0.75
2019-05-23	socio-political content	970.2159
2019-05-23	COVID19 content	329.5876
2019-05-23	Negative Valence	909.6007
2019-05-23	Aggression	424.3486
2019-05-23	Target other countries	533.2
2019-05-23	Target religious sect	551.1742
2019-05-23	Target sexual orientation	188.0737
2019-05-23	Disease dehumanization	766.2492
2019-05-23	sports	18
2019-05-23	joy	59.4
2019-05-23	pride	11.37
2019-05-23	anger	1.68
2019-05-23	sad	15.36
2019-05-23	disgust	2.31
2019-05-23	love	30.5
2019-05-23	fear	4.17
2019-05-24	socio-political content	982.4796
2019-05-24	COVID19 content	310.6805
2019-05-24	Negative Valence	882.6428
2019-05-24	Aggression	391.2953
2019-05-24	Target other countries	542.88
2019-05-24	Target religious sect	511.7945
2019-05-24	Target sexual orientation	188.0456
2019-05-24	Disease dehumanization	778.4073
2019-05-24	sports	23
2019-05-24	joy	54.4
2019-05-24	pride	15.12
2019-05-24	anger	3.06
2019-05-24	sad	18.52
2019-05-24	disgust	0
2019-05-24	love	37.58
2019-05-24	fear	2.25
2019-05-25	socio-political content	963.5832
2019-05-25	COVID19 content	339.2876
2019-05-25	Negative Valence	867.4111
2019-05-25	Aggression	393.7966
2019-05-25	Target other countries	562.03
2019-05-25	Target religious sect	500.7807
2019-05-25	Target sexual orientation	213.9207
2019-05-25	Disease dehumanization	789.83
2019-05-25	sports	20
2019-05-25	joy	62.53
2019-05-25	pride	15.48
2019-05-25	anger	3.81
2019-05-25	sad	21.74
2019-05-25	disgust	0.87
2019-05-25	love	63.52
2019-05-25	fear	0.81
2019-05-26	socio-political content	935.7598
2019-05-26	COVID19 content	311.095
2019-05-26	Negative Valence	813.7613
2019-05-26	Aggression	428.0578
2019-05-26	Target other countries	556.07
2019-05-26	Target religious sect	487.2743
2019-05-26	Target sexual orientation	208.7061
2019-05-26	Disease dehumanization	748.7677
2019-05-26	sports	20
2019-05-26	joy	74.93
2019-05-26	pride	13.68
2019-05-26	anger	6.48
2019-05-26	sad	27.94
2019-05-26	disgust	1.5
2019-05-26	love	57.71
2019-05-26	fear	1.62
2019-05-27	socio-political content	953.8254
2019-05-27	COVID19 content	316.5808
2019-05-27	Negative Valence	873.1927
2019-05-27	Aggression	422.2549
2019-05-27	Target other countries	542.63
2019-05-27	Target religious sect	526.2015
2019-05-27	Target sexual orientation	182.7912
2019-05-27	Disease dehumanization	753.506
2019-05-27	sports	16
2019-05-27	joy	66.28
2019-05-27	pride	9
2019-05-27	anger	1.56
2019-05-27	sad	29.81
2019-05-27	disgust	1.5
2019-05-27	love	41.29
2019-05-27	fear	1.5
2019-05-28	socio-political content	1122.065
2019-05-28	COVID19 content	389.8823
2019-05-28	Negative Valence	1016.7251
2019-05-28	Aggression	464.3787
2019-05-28	Target other countries	607.94
2019-05-28	Target religious sect	589.2602
2019-05-28	Target sexual orientation	238.6642
2019-05-28	Disease dehumanization	928.2454
2019-05-28	sports	12
2019-05-28	joy	92.59
2019-05-28	pride	13.5
2019-05-28	anger	5.79
2019-05-28	sad	29.67
2019-05-28	disgust	0.75
2019-05-28	love	44.36
2019-05-28	fear	2.25
2019-05-29	socio-political content	955.1947
2019-05-29	COVID19 content	340.7967
2019-05-29	Negative Valence	875.6321
2019-05-29	Aggression	414.6371
2019-05-29	Target other countries	524.99
2019-05-29	Target religious sect	528.6357
2019-05-29	Target sexual orientation	209.2711
2019-05-29	Disease dehumanization	801.764
2019-05-29	sports	13
2019-05-29	joy	42.59
2019-05-29	pride	16.68
2019-05-29	anger	3.3
2019-05-29	sad	16.47
2019-05-29	disgust	0
2019-05-29	love	33.99
2019-05-29	fear	1.62
2019-05-30	socio-political content	1011.3267
2019-05-30	COVID19 content	327.0923
2019-05-30	Negative Valence	899.9745
2019-05-30	Aggression	438.06
2019-05-30	Target other countries	564.55
2019-05-30	Target religious sect	560.7577
2019-05-30	Target sexual orientation	194.4894
2019-05-30	Disease dehumanization	786.3134
2019-05-30	sports	30
2019-05-30	joy	85.1
2019-05-30	pride	11.86
2019-05-30	anger	4
2019-05-30	sad	17.21
2019-05-30	disgust	2.31
2019-05-30	love	38.95
2019-05-30	fear	4.05
2019-05-31	socio-political content	985.8348
2019-05-31	COVID19 content	347.2619
2019-05-31	Negative Valence	884.1369
2019-05-31	Aggression	461.0331
2019-05-31	Target other countries	607.23
2019-05-31	Target religious sect	610.6022
2019-05-31	Target sexual orientation	205.1643
2019-05-31	Disease dehumanization	850.171
2019-05-31	sports	11
2019-05-31	joy	102.53
2019-05-31	pride	15.55
2019-05-31	anger	5.37
2019-05-31	sad	26.57
2019-05-31	disgust	3.18
2019-05-31	love	56.99
2019-05-31	fear	2.25
2019-06-01	socio-political content	1154.9766
2019-06-01	COVID19 content	386.856
2019-06-01	Negative Valence	986.8962
2019-06-01	Aggression	521.3037
2019-06-01	Target other countries	658.94
2019-06-01	Target religious sect	600.6358
2019-06-01	Target sexual orientation	278.0358
2019-06-01	Disease dehumanization	954.1231
2019-06-01	sports	18
2019-06-01	joy	100.27
2019-06-01	pride	42.29
2019-06-01	anger	3.12
2019-06-01	sad	30.93
2019-06-01	disgust	2.37
2019-06-01	love	62.78
2019-06-01	fear	1.5
2019-06-02	socio-political content	867.9331
2019-06-02	COVID19 content	304.1844
2019-06-02	Negative Valence	745.0683
2019-06-02	Aggression	399.4671
2019-06-02	Target other countries	476.69
2019-06-02	Target religious sect	486.2351
2019-06-02	Target sexual orientation	223.1197
2019-06-02	Disease dehumanization	713.0993
2019-06-02	sports	20
2019-06-02	joy	79.57
2019-06-02	pride	12.12
2019-06-02	anger	8.29
2019-06-02	sad	19.35
2019-06-02	disgust	1.62
2019-06-02	love	36.51
2019-06-02	fear	4.05
2019-06-03	socio-political content	1078.0064
2019-06-03	COVID19 content	345.8665
2019-06-03	Negative Valence	990.6215
2019-06-03	Aggression	477.3894
2019-06-03	Target other countries	569.65
2019-06-03	Target religious sect	620.0902
2019-06-03	Target sexual orientation	261.0387
2019-06-03	Disease dehumanization	897.6772
2019-06-03	sports	18
2019-06-03	joy	107.34
2019-06-03	pride	15.03
2019-06-03	anger	3.75
2019-06-03	sad	30.2
2019-06-03	disgust	0
2019-06-03	love	47.15
2019-06-03	fear	0.75
2019-06-04	socio-political content	1020.0398
2019-06-04	COVID19 content	336.9567
2019-06-04	Negative Valence	959.5026
2019-06-04	Aggression	447.9338
2019-06-04	Target other countries	555.11
2019-06-04	Target religious sect	564.2507
2019-06-04	Target sexual orientation	234.7194
2019-06-04	Disease dehumanization	823.5429
2019-06-04	sports	12
2019-06-04	joy	105.87
2019-06-04	pride	13.56
2019-06-04	anger	4.99
2019-06-04	sad	31.1
2019-06-04	disgust	1.5
2019-06-04	love	76.59
2019-06-04	fear	2.31
2019-06-05	socio-political content	1075.3262
2019-06-05	COVID19 content	353.5533
2019-06-05	Negative Valence	946.599
2019-06-05	Aggression	467.0915
2019-06-05	Target other countries	599.61
2019-06-05	Target religious sect	608.9993
2019-06-05	Target sexual orientation	277.9305
2019-06-05	Disease dehumanization	865.0388
2019-06-05	sports	14
2019-06-05	joy	90.27
2019-06-05	pride	12.99
2019-06-05	anger	3.99
2019-06-05	sad	32.29
2019-06-05	disgust	3.12
2019-06-05	love	39.57
2019-06-05	fear	1.62
2019-06-06	socio-political content	1204.9074
2019-06-06	COVID19 content	398.1746
2019-06-06	Negative Valence	1063.8322
2019-06-06	Aggression	484.8724
2019-06-06	Target other countries	652.26
2019-06-06	Target religious sect	644.0442
2019-06-06	Target sexual orientation	290.5908
2019-06-06	Disease dehumanization	989.4728
2019-06-06	sports	17
2019-06-06	joy	82.8
2019-06-06	pride	25.11
2019-06-06	anger	3.18
2019-06-06	sad	24.99
2019-06-06	disgust	1.56
2019-06-06	love	56.1
2019-06-06	fear	3.81
2019-06-07	socio-political content	1144.6364
2019-06-07	COVID19 content	367.3063
2019-06-07	Negative Valence	1023.8043
2019-06-07	Aggression	533.8833
2019-06-07	Target other countries	656.42
2019-06-07	Target religious sect	596.8939
2019-06-07	Target sexual orientation	255.8
2019-06-07	Disease dehumanization	900.0288
2019-06-07	sports	17
2019-06-07	joy	85.18
2019-06-07	pride	16.17
2019-06-07	anger	12.21
2019-06-07	sad	34.39
2019-06-07	disgust	1.5
2019-06-07	love	52.02
2019-06-07	fear	3.3
2019-06-08	socio-political content	1018.2363
2019-06-08	COVID19 content	316.7028
2019-06-08	Negative Valence	866.3246
2019-06-08	Aggression	438.4955
2019-06-08	Target other countries	582.5
2019-06-08	Target religious sect	503.3829
2019-06-08	Target sexual orientation	199.2761
2019-06-08	Disease dehumanization	782.6966
2019-06-08	sports	12
2019-06-08	joy	86.35
2019-06-08	pride	15.42
2019-06-08	anger	1.5
2019-06-08	sad	29.34
2019-06-08	disgust	0
2019-06-08	love	67
2019-06-08	fear	3.87
2019-06-09	socio-political content	983.115
2019-06-09	COVID19 content	277.527
2019-06-09	Negative Valence	863.2569
2019-06-09	Aggression	424.0458
2019-06-09	Target other countries	502.53
2019-06-09	Target religious sect	533.1469
2019-06-09	Target sexual orientation	212.8664
2019-06-09	Disease dehumanization	729.179
2019-06-09	sports	34
2019-06-09	joy	86.08
2019-06-09	pride	20.31
2019-06-09	anger	8.04
2019-06-09	sad	27.82
2019-06-09	disgust	1.62
2019-06-09	love	35.06
2019-06-09	fear	3.12
2019-06-10	socio-political content	1036.751
2019-06-10	COVID19 content	347.7933
2019-06-10	Negative Valence	946.798
2019-06-10	Aggression	448.6411
2019-06-10	Target other countries	527.04
2019-06-10	Target religious sect	583.1652
2019-06-10	Target sexual orientation	241.3969
2019-06-10	Disease dehumanization	856.1579
2019-06-10	sports	10
2019-06-10	joy	78.22
2019-06-10	pride	8.5
2019-06-10	anger	3.81
2019-06-10	sad	31.44
2019-06-10	disgust	1.68
2019-06-10	love	48.46
2019-06-10	fear	3.12
2019-06-11	socio-political content	1191.4596
2019-06-11	COVID19 content	411.1836
2019-06-11	Negative Valence	1071.846
2019-06-11	Aggression	510.7704
2019-06-11	Target other countries	659.15
2019-06-11	Target religious sect	670.3024
2019-06-11	Target sexual orientation	260.487
2019-06-11	Disease dehumanization	955.5133
2019-06-11	sports	17
2019-06-11	joy	85.42
2019-06-11	pride	15.48
2019-06-11	anger	4.62
2019-06-11	sad	22.08
2019-06-11	disgust	0.87
2019-06-11	love	62.38
2019-06-11	fear	1.68
2019-06-12	socio-political content	1034.9652
2019-06-12	COVID19 content	349.2924
2019-06-12	Negative Valence	939.6369
2019-06-12	Aggression	448.3178
2019-06-12	Target other countries	539.63
2019-06-12	Target religious sect	545.652
2019-06-12	Target sexual orientation	217.1004
2019-06-12	Disease dehumanization	837.0269
2019-06-12	sports	15
2019-06-12	joy	89.18
2019-06-12	pride	9.75
2019-06-12	anger	2.37
2019-06-12	sad	18.45
2019-06-12	disgust	1.5
2019-06-12	love	37.38
2019-06-12	fear	1.5
2019-06-13	socio-political content	1126.0632
2019-06-13	COVID19 content	375.4689
2019-06-13	Negative Valence	1003.4477
2019-06-13	Aggression	484.34
2019-06-13	Target other countries	632.87
2019-06-13	Target religious sect	602.9044
2019-06-13	Target sexual orientation	247.6154
2019-06-13	Disease dehumanization	916.576
2019-06-13	sports	16
2019-06-13	joy	67.57
2019-06-13	pride	12
2019-06-13	anger	6.18
2019-06-13	sad	20.96
2019-06-13	disgust	1.5
2019-06-13	love	66.54
2019-06-13	fear	1.5
2019-06-14	socio-political content	1074.0635
2019-06-14	COVID19 content	360.6295
2019-06-14	Negative Valence	937.4105
2019-06-14	Aggression	481.7159
2019-06-14	Target other countries	569.29
2019-06-14	Target religious sect	565.1858
2019-06-14	Target sexual orientation	229.2492
2019-06-14	Disease dehumanization	869.0619
2019-06-14	sports	11
2019-06-14	joy	70.66
2019-06-14	pride	16.04
2019-06-14	anger	3.87
2019-06-14	sad	23.09
2019-06-14	disgust	0
2019-06-14	love	33.07
2019-06-14	fear	3.3
2019-06-15	socio-political content	863.7224
2019-06-15	COVID19 content	290.9401
2019-06-15	Negative Valence	803.5237
2019-06-15	Aggression	357.1285
2019-06-15	Target other countries	468.94
2019-06-15	Target religious sect	459.174
2019-06-15	Target sexual orientation	170.0459
2019-06-15	Disease dehumanization	676.6375
2019-06-15	sports	27
2019-06-15	joy	55.28
2019-06-15	pride	16.18
2019-06-15	anger	3.93
2019-06-15	sad	19.71
2019-06-15	disgust	0
2019-06-15	love	42.8
2019-06-15	fear	1.5
2019-06-16	socio-political content	811.682
2019-06-16	COVID19 content	249.4881
2019-06-16	Negative Valence	691.7135
2019-06-16	Aggression	359.3205
2019-06-16	Target other countries	442.09
2019-06-16	Target religious sect	466.4681
2019-06-16	Target sexual orientation	164.5403
2019-06-16	Disease dehumanization	632.6486
2019-06-16	sports	11
2019-06-16	joy	50.09
2019-06-16	pride	6.93
2019-06-16	anger	3.24
2019-06-16	sad	23.88
2019-06-16	disgust	3.06
2019-06-16	love	44.3
2019-06-16	fear	0.75
2019-06-17	socio-political content	1010.6415
2019-06-17	COVID19 content	320.396
2019-06-17	Negative Valence	908.8035
2019-06-17	Aggression	430.862
2019-06-17	Target other countries	584.58
2019-06-17	Target religious sect	573.5865
2019-06-17	Target sexual orientation	190.3419
2019-06-17	Disease dehumanization	800.9307
2019-06-17	sports	21
2019-06-17	joy	54.66
2019-06-17	pride	13.5
2019-06-17	anger	3.75
2019-06-17	sad	12.03
2019-06-17	disgust	0.75
2019-06-17	love	53.28
2019-06-17	fear	1.56
2019-06-18	socio-political content	1182.5669
2019-06-18	COVID19 content	366.1941
2019-06-18	Negative Valence	1028.0626
2019-06-18	Aggression	493.547
2019-06-18	Target other countries	672.82
2019-06-18	Target religious sect	646.478
2019-06-18	Target sexual orientation	255.6306
2019-06-18	Disease dehumanization	907.53
2019-06-18	sports	7
2019-06-18	joy	61.81
2019-06-18	pride	6
2019-06-18	anger	10.11
2019-06-18	sad	31.87
2019-06-18	disgust	1.5
2019-06-18	love	47.96
2019-06-18	fear	0
2019-06-19	socio-political content	1020.7755
2019-06-19	COVID19 content	340.7473
2019-06-19	Negative Valence	905.141
2019-06-19	Aggression	460.5966
2019-06-19	Target other countries	552.54
2019-06-19	Target religious sect	544.8582
2019-06-19	Target sexual orientation	206.8457
2019-06-19	Disease dehumanization	846.4175
2019-06-19	sports	4
2019-06-19	joy	76.04
2019-06-19	pride	6.12
2019-06-19	anger	3.49
2019-06-19	sad	25.14
2019-06-19	disgust	1.5
2019-06-19	love	48.61
2019-06-19	fear	1.5
2019-06-20	socio-political content	1001.797
2019-06-20	COVID19 content	325.534
2019-06-20	Negative Valence	871.8831
2019-06-20	Aggression	408.8031
2019-06-20	Target other countries	588.26
2019-06-20	Target religious sect	538.7523
2019-06-20	Target sexual orientation	205.2194
2019-06-20	Disease dehumanization	819.5559
2019-06-20	sports	14
2019-06-20	joy	64.22
2019-06-20	pride	13.25
2019-06-20	anger	4.8
2019-06-20	sad	23.25
2019-06-20	disgust	1.56
2019-06-20	love	46.68
2019-06-20	fear	3.25
2019-06-21	socio-political content	1018.5545
2019-06-21	COVID19 content	362.1312
2019-06-21	Negative Valence	912.2141
2019-06-21	Aggression	442.6875
2019-06-21	Target other countries	582.09
2019-06-21	Target religious sect	517.828
2019-06-21	Target sexual orientation	222.9272
2019-06-21	Disease dehumanization	804.1111
2019-06-21	sports	26
2019-06-21	joy	47.65
2019-06-21	pride	22.42
2019-06-21	anger	0.81
2019-06-21	sad	21.34
2019-06-21	disgust	1.5
2019-06-21	love	49.93
2019-06-21	fear	3.87
2019-06-22	socio-political content	954.5716
2019-06-22	COVID19 content	306.1383
2019-06-22	Negative Valence	849.5234
2019-06-22	Aggression	426.3022
2019-06-22	Target other countries	541.62
2019-06-22	Target religious sect	493.6264
2019-06-22	Target sexual orientation	209.6366
2019-06-22	Disease dehumanization	727.9549
2019-06-22	sports	14
2019-06-22	joy	80.86
2019-06-22	pride	8.37
2019-06-22	anger	4.99
2019-06-22	sad	25.25
2019-06-22	disgust	0.75
2019-06-22	love	58.29
2019-06-22	fear	0.75
2019-06-23	socio-political content	885.0847
2019-06-23	COVID19 content	294.2053
2019-06-23	Negative Valence	824.713
2019-06-23	Aggression	401.8271
2019-06-23	Target other countries	521.78
2019-06-23	Target religious sect	478.0325
2019-06-23	Target sexual orientation	172.4866
2019-06-23	Disease dehumanization	675.9599
2019-06-23	sports	28
2019-06-23	joy	79.23
2019-06-23	pride	18.31
