date	macro_dimension	dimension	language	frequency
2020-02-07	Security	Other - Security	ar	114
2020-12-01	Corruption	Other - Corruption	ar	106
2020-09-08	Economy	Other - Economy	ar	101
2020-12-16	Corruption	Other - Corruption	ar	100
2021-03-11	Corruption	Other - Corruption	ar	99
2021-02-25	Security	Other - Security	ar	99
2020-05-10	Security	Other - Security	ar	97
2020-10-27	Services	Collective Action	ar	96
2020-08-23	Corruption	Other - Corruption	ar	96
2020-08-31	Corruption	Other - Corruption	ar	96
2021-04-15	Corruption	Other - Corruption	ar	95
2019-11-29	Corruption	Other - Corruption	ar	95
2020-09-05	Security	Other - Security	ar	94
2020-08-16	Corruption	Other - Corruption	ar	93
2019-09-05	Corruption	Other - Corruption	ar	93
2020-06-26	Security	Other - Security	ar	90
2020-11-11	Corruption	Other - Corruption	ar	88
2020-09-22	Corruption	Other - Corruption	ar	88
2020-07-04	Security	Other - Security	ar	88
2020-10-06	Security	Other - Security	ar	87
2019-10-24	Corruption	Other - Corruption	ar	86
2021-06-07	Security	Other - Security	fa	1
2021-01-21	Security	Other - Security	ar	85
2020-09-15	Corruption	Other - Corruption	ar	84
2020-06-07	Corruption	Other - Corruption	ar	84
2020-11-01	Corruption	Other - Corruption	ar	83
2021-06-07	Security	Other - Security	ckb	1
2020-09-06	Corruption	Other - Corruption	ar	83
2020-08-20	Security	Other - Security	ar	83
2020-05-16	Security	Other - Security	ar	83
2020-03-31	Corruption	Other - Corruption	ar	83
2021-06-07	Services	Other - Services	ckb	1
2021-06-26	Security	Other - Security	ar	82
2020-10-06	Corruption	Other - Corruption	ar	82
2020-10-16	Corruption	Other - Corruption	ar	82
2020-09-11	Corruption	Other - Corruption	ar	82
2020-02-02	Corruption	Other - Corruption	ar	82
2021-03-05	Security	Other - Security	ar	80
2021-06-08	Security	Other - Security	ckb	1
2021-06-08	Security	Other - Security	fa	1
2020-09-21	Corruption	Other - Corruption	ar	80
2021-06-08	Security	Other - Security	ckb	1
2020-07-07	Security	Other - Security	ar	80
2020-02-05	Security	Other - Security	ar	80
2020-02-06	Security	Other - Security	ar	79
2021-06-08	Corruption	Other - Corruption	ckb	1
2021-02-16	Corruption	Other - Corruption	ar	78
2020-09-30	Security	Other - Security	ar	78
2021-02-19	Security	Other - Security	ar	77
2020-12-07	Corruption	Other - Corruption	ar	77
2021-06-09	Security	Other - Security	fa	1
2020-11-15	Corruption	Other - Corruption	ar	77
2020-07-06	Security	Other - Security	ar	77
2020-05-03	Security	Other - Security	ar	77
2021-06-09	Security	Other - Security	und	1
2020-04-26	Corruption	Other - Corruption	ar	77
2020-08-17	Economy	Other - Economy	ar	76
2020-07-26	Corruption	Other - Corruption	ar	76
2020-06-15	Corruption	Other - Corruption	ar	76
2021-06-09	Corruption	Other - Corruption	und	4
2021-06-26	Corruption	Other - Corruption	ar	75
2021-01-12	Security	Other - Security	ar	75
2020-11-28	Security	Other - Security	ar	75
2020-11-28	Corruption	Other - Corruption	ar	75
2020-08-05	Security	Other - Security	ar	75
2020-08-13	Security	Other - Security	ar	75
2021-06-10	Security	Other - Security	ckb	1
2019-10-25	Security	Other - Security	ar	75
2021-01-30	Corruption	Other - Corruption	ar	74
2020-06-27	Security	Other - Security	ar	74
2019-12-06	Security	Other - Security	ar	74
2019-11-30	Corruption	Other - Corruption	ar	74
2020-07-01	Corruption	Other - Corruption	ar	73
2021-03-23	Security	Other - Security	ar	72
2019-12-18	Corruption	Other - Corruption	ar	72
2019-11-28	Corruption	Other - Corruption	ar	72
2019-10-02	Corruption	Other - Corruption	ar	72
2021-06-10	Services	Collective Action	ckb	1
2020-12-02	Corruption	Other - Corruption	ar	71
2020-11-02	Governance	Other - Governance	ar	71
2020-08-28	Corruption	Other - Corruption	ar	71
2021-06-11	Security	Other - Security	ckb	4
2021-06-11	Security	Other - Security	und	1
2020-01-25	Corruption	Other - Corruption	ar	71
2020-09-05	Corruption	Other - Corruption	ar	70
2020-08-04	Security	Other - Security	ar	70
2020-07-17	Corruption	Other - Corruption	ar	70
2020-02-03	Security	Other - Security	ar	70
2020-08-19	Security	Other - Security	ar	69
2021-03-02	Corruption	Other - Corruption	ar	68
2020-11-03	Security	Other - Security	ar	68
2020-08-15	Corruption	Other - Corruption	ar	68
2019-12-01	Security	Other - Security	ar	68
2019-11-29	Security	Other - Security	ar	68
2021-06-12	Security	Other - Security	ckb	5
2019-10-31	Corruption	Other - Corruption	ar	68
2021-04-20	Corruption	Other - Corruption	ar	67
2021-03-27	Corruption	Other - Corruption	ar	67
2020-11-21	Corruption	Other - Corruption	ar	67
2020-10-13	Corruption	Other - Corruption	ar	67
2020-08-21	Security	Other - Security	ar	67
2021-06-12	Corruption	Other - Corruption	ckb	1
2020-08-22	Security	Other - Security	ar	67
2020-11-24	Corruption	Other - Corruption	ar	66
2020-11-27	Security	Hopeless/Negative/Pessimistic	ar	66
2020-09-07	Security	Other - Security	ar	66
2020-09-08	Security	Other - Security	ar	66
2020-06-30	Corruption	Other - Corruption	ar	66
2019-11-30	Security	Other - Security	ar	66
2020-09-23	Corruption	Other - Corruption	ar	65
2020-09-24	Corruption	Other - Corruption	ar	65
2020-06-08	Security	Other - Security	ar	65
2021-06-13	Security	Other - Security	ckb	6
2021-06-13	Security	Other - Security	fa	2
2020-01-27	Security	Other - Security	ar	65
2019-10-25	Corruption	Other - Corruption	ar	65
2020-09-25	Corruption	Other - Corruption	ar	64
2019-12-13	Corruption	Other - Corruption	ar	64
2019-10-30	Corruption	Other - Corruption	ar	64
2020-11-07	Corruption	Other - Corruption	ar	63
2020-11-21	Security	Other - Security	ar	63
2020-08-18	Corruption	Other - Corruption	ar	63
2020-08-25	Corruption	Other - Corruption	ar	63
2020-07-08	Security	Other - Security	ar	63
2019-10-26	Security	Other - Security	ar	63
2019-10-29	Corruption	Other - Corruption	ar	63
2021-04-24	Corruption	Other - Corruption	ar	62
2021-06-14	Security	Other - Security	ckb	1
2021-06-14	Security	Other - Security	fa	2
2021-01-29	Corruption	Other - Corruption	ar	62
2020-12-29	Corruption	Other - Corruption	ar	62
2020-09-09	Corruption	Other - Corruption	ar	62
2020-09-17	Corruption	Other - Corruption	ar	62
2021-06-14	Security	Other - Security	ckb	1
2020-09-20	Governance	Other - Governance	ar	62
2020-08-02	Security	Other - Security	ar	62
2020-08-08	Corruption	Other - Corruption	ar	62
2020-01-03	Security	Other - Security	ar	62
2020-01-06	Security	Other - Security	ar	62
2020-01-08	Security	Other - Security	ar	62
2019-12-01	Corruption	Other - Corruption	ar	62
2021-06-15	Security	Other - Security	ckb	3
2020-10-11	Security	Other - Security	ar	61
2020-10-25	Corruption	Other - Corruption	ar	61
2020-07-06	Corruption	Other - Corruption	ar	61
2020-04-24	Corruption	Other - Corruption	ar	61
2020-01-20	Corruption	Other - Corruption	ar	61
2020-09-26	Security	Other - Security	ar	60
2020-07-28	Corruption	Other - Corruption	ar	60
2020-06-12	Corruption	Other - Corruption	ar	60
2020-05-30	Corruption	Other - Corruption	ar	60
2021-06-16	Security	Other - Security	ckb	2
2020-01-16	Corruption	Other - Corruption	ar	60
2020-01-20	Security	Other - Security	ar	60
2019-10-26	Corruption	Other - Corruption	ar	60
2020-12-17	Corruption	Other - Corruption	ar	59
2020-09-28	Security	Other - Security	ar	59
2020-08-24	Security	Other - Security	ar	59
2020-08-30	Corruption	Other - Corruption	ar	59
2020-06-05	Corruption	Other - Corruption	ar	59
2019-12-26	Corruption	Other - Corruption	ar	59
2019-12-31	Security	Other - Security	ar	59
2019-10-27	Corruption	Other - Corruption	ar	59
2021-06-04	Security	Other - Security	ar	58
2021-06-17	Security	Other - Security	ckb	3
2021-06-14	Security	Other - Security	ar	58
2021-02-26	Security	Other - Security	ar	58
2021-01-30	Corruption	Other - Corruption	ar	58
2020-11-14	Security	Other - Security	ar	58
2020-11-18	Corruption	Other - Corruption	ar	58
2020-09-02	Security	Other - Security	ar	58
2021-06-17	Corruption	Other - Corruption	fa	1
2020-08-23	Security	Other - Security	ar	58
2020-06-24	Corruption	Other - Corruption	ar	58
2020-05-11	Corruption	Other - Corruption	ar	58
2020-05-22	Security	Other - Security	ar	58
2020-01-26	Security	Other - Security	ar	58
2020-01-26	Corruption	Other - Corruption	ar	58
2019-12-13	Security	Other - Security	ar	58
2021-06-22	Corruption	Other - Corruption	ar	57
2021-03-10	Corruption	Other - Corruption	ar	57
2020-10-14	Corruption	Other - Corruption	ar	57
2020-09-19	Security	Other - Security	ar	57
2020-08-14	Services	Collective Action	ar	57
2020-08-27	Security	Other - Security	ar	57
2020-01-22	Security	Other - Security	ar	57
2019-10-28	Corruption	Other - Corruption	ar	57
2021-06-18	Corruption	Other - Corruption	und	1
2021-03-10	Security	Other - Security	ar	56
2020-08-01	Security	Other - Security	ar	56
2020-08-31	Security	Other - Security	ar	56
2020-06-15	Security	Other - Security	ar	56
2020-05-17	Corruption	Other - Corruption	ar	56
2020-05-21	Security	Other - Security	ar	56
2020-01-05	Security	Other - Security	ar	56
2021-06-19	Security	Other - Security	ckb	6
2020-01-23	Corruption	Other - Corruption	ar	56
2021-06-09	Security	Other - Security	ar	55
2021-04-06	Corruption	Other - Corruption	ar	55
2021-04-22	Security	Other - Security	ar	55
2020-11-02	Corruption	Other - Corruption	ar	55
2020-09-01	Corruption	Other - Corruption	ar	55
2020-09-08	Corruption	Active-agentic	ar	55
2020-09-16	Security	Other - Security	ar	55
2021-06-20	Security	Other - Security	fa	1
2020-05-10	Corruption	Other - Corruption	ar	55
2019-12-03	Corruption	Other - Corruption	ar	55
2019-11-15	Corruption	Other - Corruption	ar	55
2021-03-14	Corruption	Other - Corruption	ar	54
2021-03-25	Security	Other - Security	ar	54
2021-06-20	Corruption	Other - Corruption	ckb	1
2021-06-20	Corruption	Other - Corruption	und	1
2020-10-23	Corruption	Other - Corruption	ar	54
2020-09-07	Corruption	Other - Corruption	ar	54
2020-09-27	Corruption	Other - Corruption	ar	54
2020-07-16	Corruption	Other - Corruption	ar	54
2020-06-25	Security	Other - Security	ar	54
2020-03-28	Corruption	Other - Corruption	ar	54
2020-02-01	Security	Other - Security	ar	54
2019-12-06	Corruption	Other - Corruption	ar	54
2019-12-22	Corruption	Other - Corruption	ar	54
2019-08-02	Governance	Other - Governance	ar	54
2021-06-21	Security	Other - Security	ckb	1
2020-05-07	Corruption	Other - Corruption	ar	53
2020-05-17	Security	Other - Security	ar	53
2020-05-30	Security	Other - Security	ar	53
2021-06-21	Corruption	Other - Corruption	ckb	1
2021-06-21	Corruption	Other - Corruption	en	4
2021-06-21	Corruption	Other - Corruption	fa	4
2021-06-21	Corruption	Other - Corruption	fr	1
2021-06-21	Corruption	Other - Corruption	und	402
2020-03-01	Corruption	Other - Corruption	ar	53
2021-06-21	Corruption	Other - Corruption	und	1
2019-12-02	Corruption	Other - Corruption	ar	53
2019-10-21	Corruption	Other - Corruption	ar	53
2021-03-14	Security	Other - Security	ar	52
2021-03-28	Security	Other - Security	ar	52
2021-01-19	Corruption	Other - Corruption	ar	52
2021-06-22	Security	Other - Security	ckb	1
2020-10-03	Corruption	Other - Corruption	ar	52
2020-10-18	Corruption	Other - Corruption	ar	52
2020-08-14	Security	Other - Security	ar	52
2020-08-29	Security	Other - Security	ar	52
2021-06-22	Corruption	Other - Corruption	und	19
2020-07-01	Security	Other - Security	ar	52
2020-06-11	Corruption	Other - Corruption	ar	52
2020-05-06	Corruption	Other - Corruption	ar	52
2021-06-22	Corruption	Other - Corruption	und	2
2020-04-09	Corruption	Other - Corruption	ar	52
2020-03-17	Corruption	Other - Corruption	ar	52
2019-12-17	Corruption	Other - Corruption	ar	52
2019-12-25	Corruption	Other - Corruption	ar	52
2021-04-03	Security	Other - Security	ar	51
2021-04-19	Corruption	Other - Corruption	ar	51
2021-01-22	Security	Other - Security	ar	51
2020-11-12	Corruption	Other - Corruption	ar	51
2020-10-10	Corruption	Other - Corruption	ar	51
2020-09-26	Corruption	Other - Corruption	ar	51
2020-09-27	Security	Other - Security	ar	51
2021-06-23	Corruption	Other - Corruption	und	1
2020-07-12	Corruption	Other - Corruption	ar	51
2020-06-09	Corruption	Other - Corruption	ar	51
2021-06-23	Corruption	Other - Corruption	und	1
2020-06-25	Corruption	Other - Corruption	ar	51
2020-05-05	Corruption	Other - Corruption	ar	51
2020-02-04	Security	Other - Security	ar	51
2020-01-24	Corruption	Other - Corruption	ar	51
2018-07-13	Corruption	Other - Corruption	ar	51
2021-06-27	Corruption	Other - Corruption	ar	50
2021-02-04	Security	Other - Security	ar	50
2020-10-07	Corruption	Other - Corruption	ar	50
2021-06-24	Security	Other - Security	ckb	1
2021-06-24	Security	Other - Security	fa	1
2020-09-22	Security	Other - Security	ar	50
2020-07-07	Corruption	Other - Corruption	ar	50
2020-07-14	Security	Other - Security	ar	50
2020-06-29	Corruption	Other - Corruption	ar	50
2020-05-09	Corruption	Other - Corruption	ar	50
2020-01-19	Security	Other - Security	ar	50
2020-01-22	Corruption	Other - Corruption	ar	50
2019-12-11	Corruption	Other - Corruption	ar	50
2019-12-27	Corruption	Other - Corruption	ar	50
2019-11-03	Corruption	Other - Corruption	ar	50
2019-10-02	Security	Other - Security	ar	50
2021-03-31	Corruption	Other - Corruption	ar	49
2021-06-25	Security	Other - Security	ckb	1
2020-08-21	Economy	Other - Economy	ar	49
2020-07-05	Security	Other - Security	ar	49
2020-07-12	Security	Other - Security	ar	49
2020-07-30	Security	Other - Security	ar	49
2020-01-28	Corruption	Other - Corruption	ar	49
2021-06-25	Corruption	Other - Corruption	fa	1
2019-11-26	Corruption	Other - Corruption	ar	49
2019-10-01	Corruption	Other - Corruption	ar	49
2021-06-23	Security	Other - Security	ar	48
2021-04-18	Corruption	Other - Corruption	ar	48
2021-02-20	Corruption	Other - Corruption	ar	48
2020-11-06	Corruption	Other - Corruption	ar	48
2020-08-08	Security	Other - Security	ar	48
2020-07-15	Security	Other - Security	ar	48
2020-07-26	Security	Other - Security	ar	48
2020-06-27	Corruption	Other - Corruption	ar	48
2020-06-28	Security	Other - Security	ar	48
2021-06-26	Security	Other - Security	ckb	2
2021-06-26	Security	Other - Security	fa	1
2020-04-27	Corruption	Other - Corruption	ar	48
2019-08-16	Security	Other - Security	ar	48
2018-06-08	Security	Other - Security	ar	48
2021-04-24	Security	Other - Security	ar	47
2020-10-09	Corruption	Other - Corruption	ar	47
2020-10-27	Security	Other - Security	ar	47
2020-09-10	Security	Other - Security	ar	47
2020-09-23	Security	Other - Security	ar	47
2020-08-15	Security	Other - Security	ar	47
2020-07-03	Security	Other - Security	ar	47
2020-05-02	Security	Other - Security	ar	47
2021-06-27	Security	Other - Security	ckb	3
2020-01-19	Corruption	Other - Corruption	ar	47
2020-01-21	Security	Other - Security	ar	47
2020-01-28	Security	Other - Security	ar	47
2021-06-27	Security	Other - Security	ckb	1
2020-01-29	Security	Other - Security	ar	47
2021-06-27	Corruption	Other - Corruption	und	2
2020-01-29	Corruption	Other - Corruption	ar	47
2019-12-07	Corruption	Other - Corruption	ar	47
2019-12-17	Security	Other - Security	ar	47
2019-11-18	Corruption	Other - Corruption	ar	47
2018-09-08	Security	Other - Security	ar	47
2018-07-21	Security	Other - Security	ar	47
2021-06-13	Security	Other - Security	ar	46
2021-06-22	Security	Other - Security	ar	46
2021-04-07	Security	Other - Security	ar	46
2021-04-25	Security	Other - Security	ar	46
2021-02-05	Corruption	Other - Corruption	ar	46
2021-02-07	Corruption	Other - Corruption	ar	46
2020-11-09	Services	Other - Services	ar	46
2020-10-01	Security	Other - Security	ar	46
2020-10-08	Security	Other - Security	ar	46
2020-08-11	Corruption	Other - Corruption	ar	46
2020-07-09	Security	Other - Security	ar	46
2020-07-20	Security	Other - Security	ar	46
2020-06-14	Corruption	Other - Corruption	ar	46
2020-06-28	Corruption	Other - Corruption	ar	46
2020-05-20	Corruption	Other - Corruption	ar	46
2019-12-29	Corruption	Other - Corruption	ar	46
2021-06-29	Security	Other - Security	ckb	2
2019-11-01	Corruption	Other - Corruption	ar	46
2021-03-07	Security	Other - Security	ar	45
2021-02-01	Security	Other - Security	ar	45
2020-10-17	Corruption	Other - Corruption	ar	45
2020-08-07	Corruption	Other - Corruption	ar	45
2020-08-17	Security	Other - Security	ar	45
2021-06-29	Corruption	Other - Corruption	fa	1
2020-07-03	Corruption	Other - Corruption	ar	45
2020-06-01	Security	Other - Security	ar	45
2020-06-04	Security	Other - Security	ar	45
2020-06-13	Security	Other - Security	ar	45
2020-02-13	Corruption	Other - Corruption	ar	45
2019-12-02	Security	Other - Security	ar	45
2019-12-23	Corruption	Other - Corruption	ar	45
2019-11-12	Security	Other - Security	ar	45
2019-11-19	Corruption	Other - Corruption	ar	45
2019-11-20	Corruption	Other - Corruption	ar	45
2021-06-28	Security	Other - Security	ar	44
2021-06-30	Security	Other - Security	ca	1
2021-06-30	Security	Other - Security	ckb	1
2020-12-03	Corruption	Other - Corruption	ar	44
2020-12-09	Corruption	Other - Corruption	ar	44
2020-11-19	Corruption	Other - Corruption	ar	44
2020-11-27	Security	Other - Security	ar	44
2020-09-18	Services	Collective Action	ar	44
2020-08-23	Governance	Other - Governance	ar	44
2020-07-05	Security	Other - Security	ar	44
2020-07-20	Corruption	Other - Corruption	ar	44
2020-07-27	Security	Other - Security	ar	44
2020-06-10	Security	Other - Security	ar	44
2020-05-23	Security	Other - Security	ar	44
2020-04-03	Security	Other - Security	ar	44
2020-03-20	Security	Other - Security	ar	44
2020-03-22	Security	Other - Security	ar	44
2020-01-16	Security	Other - Security	ar	44
2019-12-08	Security	Other - Security	ar	44
2019-11-24	Corruption	Other - Corruption	ar	44
2018-07-20	Corruption	Other - Corruption	ar	44
2018-07-27	Security	Other - Security	ar	44
2021-06-14	Corruption	Other - Corruption	ar	43
2021-04-01	Security	Other - Security	ar	43
2021-04-04	Corruption	Other - Corruption	ar	43
2021-04-02	Security	Other - Security	ckb	1
2021-02-22	Security	Other - Security	ar	43
2021-04-02	Security	Other - Security	und	1
2020-11-03	Corruption	Other - Corruption	ar	43
2020-11-22	Corruption	Other - Corruption	ar	43
2020-10-08	Corruption	Other - Corruption	ar	43
2020-10-15	Services	Divine Intervention	ar	43
2020-10-21	Corruption	Other - Corruption	ar	43
2021-04-02	Services	Collective Action	und	1
2020-09-03	Corruption	Other - Corruption	ar	43
2020-09-13	Security	Other - Security	ar	43
2021-04-03	Security	Other - Security	ckb	2
2020-08-26	Corruption	Other - Corruption	ar	43
2020-08-30	Security	Other - Security	ar	43
2020-07-04	Corruption	Other - Corruption	ar	43
2020-07-10	Corruption	Other - Corruption	ar	43
2020-07-11	Corruption	Other - Corruption	ar	43
2020-05-04	Corruption	Other - Corruption	ar	43
2020-05-29	Security	Other - Security	ar	43
2021-04-03	Services	Collective Action	und	1
2020-03-02	Corruption	Other - Corruption	ar	43
2020-01-07	Security	Other - Security	ar	43
2020-01-25	Security	Other - Security	ar	43
2018-09-07	Security	Other - Security	ar	43
2021-04-04	Security	Other - Security	ckb	1
2018-06-07	Security	Other - Security	ar	43
2021-06-20	Security	Other - Security	ar	42
2021-04-07	Corruption	Other - Corruption	ar	42
2021-04-21	Security	Other - Security	ar	42
2020-10-12	Security	Other - Security	ar	42
2020-10-15	Security	Other - Security	ar	42
2020-08-19	Corruption	Other - Corruption	ar	42
2020-05-15	Corruption	Other - Corruption	ar	42
2020-02-02	Security	Other - Security	ar	42
2020-02-03	Corruption	Other - Corruption	ar	42
2020-02-08	Security	Other - Security	ar	42
2020-01-10	Security	Other - Security	ar	42
2020-01-14	Corruption	Other - Corruption	ar	42
2021-04-05	Security	Other - Security	ckb	1
2021-06-08	Security	Other - Security	ar	41
2021-04-03	Corruption	Other - Corruption	ar	41
2021-03-05	Corruption	Other - Corruption	ar	41
2021-03-11	Security	Other - Security	ar	41
2021-03-15	Security	Other - Security	ar	41
2021-03-19	Security	Other - Security	ar	41
2020-11-10	Corruption	Other - Corruption	ar	41
2020-11-14	Services	Collective Action	ar	41
2020-10-07	Security	Other - Security	ar	41
2020-09-17	Security	Other - Security	ar	41
2020-09-28	Corruption	Other - Corruption	ar	41
2020-07-09	Corruption	Other - Corruption	ar	41
2021-04-06	Security	Other - Security	ckb	4
2020-07-23	Security	Other - Security	ar	41
2020-05-11	Security	Other - Security	ar	41
2020-05-25	Security	Other - Security	ar	41
2020-04-19	Security	Other - Security	ar	41
2020-04-21	Security	Other - Security	ar	41
2021-04-06	Corruption	Other - Corruption	ckb	1
2020-01-04	Security	Other - Security	ar	41
2020-01-12	Security	Other - Security	ar	41
2020-01-17	Security	Other - Security	ar	41
2019-12-08	Corruption	Other - Corruption	ar	41
2019-11-02	Corruption	Other - Corruption	ar	41
2018-09-04	Security	Other - Security	ar	41
2018-07-16	Corruption	Other - Corruption	ar	41
2021-04-26	Security	Other - Security	ar	40
2021-03-06	Security	Other - Security	ar	40
2021-01-21	Corruption	Other - Corruption	ar	40
2021-04-07	Services	Other - Services	ur	1
2021-04-07	Services	Collective Action	ckb	1
2020-08-12	Security	Other - Security	ar	40
2020-08-16	Security	Other - Security	ar	40
2020-07-08	Corruption	Other - Corruption	ar	40
2020-07-18	Security	Other - Security	ar	40
2020-07-25	Security	Other - Security	ar	40
2020-07-30	Corruption	Other - Corruption	ar	40
2021-04-08	Security	Other - Security	ckb	3
2020-06-14	Security	Other - Security	ar	40
2020-06-21	Corruption	Other - Corruption	ar	40
2020-05-03	Corruption	Other - Corruption	ar	40
2020-05-12	Corruption	Other - Corruption	ar	40
2020-05-14	Corruption	Other - Corruption	ar	40
2020-03-27	Security	Other - Security	ar	40
2020-01-13	Corruption	Other - Corruption	ar	40
2019-12-03	Security	Other - Security	ar	40
2019-12-21	Corruption	Other - Corruption	ar	40
2019-08-02	Security	Other - Security	ar	40
2018-09-07	Corruption	Other - Corruption	ar	40
2021-06-07	Security	Other - Security	ar	39
2021-06-29	Security	Other - Security	ar	39
2021-04-09	Corruption	Other - Corruption	fa	1
2021-04-04	Security	Other - Security	ar	39
2021-04-15	Economy	Other - Economy	ar	39
2021-03-08	Security	Other - Security	ar	39
2021-01-26	Corruption	Other - Corruption	ar	39
2020-11-29	Corruption	Other - Corruption	ar	39
2020-08-01	Corruption	Other - Corruption	ar	39
2021-04-10	Security	Other - Security	ckb	2
2021-04-10	Security	Hopeless/Negative/Pessimistic	ckb	1
2020-08-03	Security	Other - Security	ar	39
2020-07-15	Corruption	Other - Corruption	ar	39
2020-06-13	Corruption	Other - Corruption	ar	39
2020-06-16	Corruption	Other - Corruption	ar	39
2021-04-10	Corruption	Other - Corruption	ckb	1
2020-06-20	Corruption	Other - Corruption	ar	39
2020-05-04	Security	Other - Security	ar	39
2020-05-19	Security	Other - Security	ar	39
2020-05-19	Corruption	Other - Corruption	ar	39
2020-04-18	Security	Other - Security	ar	39
2020-03-28	Security	Other - Security	ar	39
2021-04-11	Security	Other - Security	ckb	2
2020-02-05	Corruption	Other - Corruption	ar	39
2020-01-18	Security	Other - Security	ar	39
2019-12-04	Corruption	Other - Corruption	ar	39
2019-11-13	Corruption	Other - Corruption	ar	39
2019-11-17	Corruption	Other - Corruption	ar	39
2019-11-22	Corruption	Other - Corruption	ar	39
2021-04-11	Corruption	Other - Corruption	und	1
2018-06-09	Security	Other - Security	ar	39
2021-06-16	Security	Other - Security	ar	38
2021-04-16	Economy	Other - Economy	ar	38
2021-02-09	Security	Other - Security	ar	38
2021-01-31	Corruption	Other - Corruption	ar	38
2021-04-12	Security	Other - Security	ckb	3
2020-12-05	Corruption	Other - Corruption	ar	38
2020-12-12	Corruption	Other - Corruption	ar	38
2020-12-21	Corruption	Other - Corruption	ar	38
2020-12-22	Corruption	Other - Corruption	ar	38
2020-11-06	Security	Other - Security	ar	38
2021-04-12	Services	Other - Services	ckb	1
2020-08-06	Corruption	Other - Corruption	ar	38
2020-08-20	Corruption	Other - Corruption	ar	38
2020-06-16	Security	Other - Security	ar	38
2020-05-26	Corruption	Other - Corruption	ar	38
2021-04-13	Security	Other - Security	ckb	2
2020-05-27	Corruption	Other - Corruption	ar	38
2020-03-18	Corruption	Other - Corruption	ar	38
2020-02-04	Corruption	Other - Corruption	ar	38
2021-04-13	Security	Other - Security	ckb	1
2020-02-09	Corruption	Other - Corruption	ar	38
2019-12-12	Security	Other - Security	ar	38
