date	macro_dimension	dimension	gender	language	frequency
2021-04-08	Economy	Other - Economy	m	ar	1
2021-04-09	Security	Other - Security	m	ar	1
2021-04-09	Corruption	Other - Corruption	m	ar	1
2021-04-10	Security	Other - Security	m	ar	1
2021-04-10	Corruption	Other - Corruption	f	ar	1
2021-04-11	Security	Other - Security	f	ar	1
2021-04-11	Security	Other - Security	m	ar	1
2021-04-11	Corruption	Other - Corruption	m	ar	1
2021-04-12	Security	Other - Security	m	ar	4
2021-04-12	Corruption	Other - Corruption	m	ar	2
2021-04-12	Services	Collective Action	f	ar	1
2021-04-12	Services	Collective Action	m	ar	1
2021-04-13	Corruption	Other - Corruption	f	ar	1
2021-04-13	Corruption	Other - Corruption	m	ar	1
2021-04-14	Corruption	Other - Corruption	f	ar	1
2021-04-14	Corruption	Other - Corruption	m	ar	2
2021-04-15	Security	Other - Security	m	ar	3
2021-04-15	Corruption	Other - Corruption	f	ar	1
2021-04-15	Corruption	Other - Corruption	m	ar	2
2021-04-16	Security	Other - Security	m	ar	1
2021-04-16	Corruption	Other - Corruption	m	ar	1
2021-04-17	Security	Other - Security	m	ar	1
2021-04-17	Corruption	Other - Corruption	m	ar	2
2021-04-18	Security	Other - Security	f	ar	1
2021-04-18	Security	Other - Security	f	ar	1
2021-04-18	Corruption	Other - Corruption	f	ar	1
2021-04-18	Corruption	Other - Corruption	m	ar	3
2021-04-19	Security	Other - Security	f	ar	1
2021-04-20	Security	Other - Security	m	ar	3
2021-04-20	Services	Other - Services	m	ar	1
2021-04-21	Security	Other - Security	m	ar	1
2021-04-22	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-04-22	Security	Other - Security	m	ar	1
2021-04-22	Corruption	Other - Corruption	m	ar	2
2021-04-22	Corruption	Other - Corruption	m	und	1
2021-04-22	Corruption	Other - Corruption	f	ar	1
2021-04-23	Security	Other - Security	m	ar	1
2021-04-23	Governance	Other - Governance	m	ar	1
2021-04-24	Security	Other - Security	f	ar	1
2021-04-24	Security	Other - Security	m	ar	1
2021-04-24	Corruption	Other - Corruption	f	ar	1
2021-04-24	Corruption	Other - Corruption	m	ar	3
2021-04-24	Governance	Other - Governance	f	ar	1
2021-04-25	Security	Other - Security	m	ar	1
2021-04-25	Corruption	Other - Corruption	f	ar	2
2021-04-25	Corruption	Other - Corruption	m	ar	4
2021-04-25	Economy	Other - Economy	m	ar	1
2021-04-26	Security	Other - Security	f	ar	1
2021-04-26	Corruption	Other - Corruption	f	ar	1
2021-04-26	Corruption	Other - Corruption	m	ar	2
2021-04-27	Security	Other - Security	m	ar	2
2021-04-27	Security	Hopeless/Negative/Pessimistic	m	ar	2
2021-04-27	Security	Other - Security	m	ar	1
2021-04-27	Corruption	Other - Corruption	m	ar	1
2021-04-28	Corruption	Other - Corruption	m	ar	2
2021-04-28	Services	Collective Action	m	ar	1
2021-04-29	Security	Other - Security	f	ar	1
2021-04-29	Security	Other - Security	m	ar	1
2021-04-29	Security	Other - Security	m	ar	1
2021-04-29	Corruption	Other - Corruption	m	ar	1
2021-04-30	Security	Other - Security	m	ar	1
2021-04-30	Security	Other - Security	f	ar	1
2021-04-30	Security	Other - Security	m	ar	2
2021-04-30	Corruption	Other - Corruption	m	ar	1
2021-04-30	Services	Other - Services	m	ar	1
2021-03-01	Security	Other - Security	m	ar	1
2021-03-01	Security	Other - Security	m	ar	1
2021-03-02	Security	Other - Security	f	ar	1
2021-03-02	Security	Other - Security	m	ar	2
2021-03-02	Corruption	Other - Corruption	f	ar	1
2021-03-02	Corruption	Other - Corruption	m	ar	1
2021-03-02	Services	Other - Services	f	ar	1
2021-03-02	Governance	Other - Governance	m	ar	2
2021-03-03	Corruption	Other - Corruption	m	ar	1
2021-03-04	Security	Other - Security	m	ar	3
2021-03-04	Corruption	Other - Corruption	m	ar	1
2021-03-04	Services	Other - Services	m	ar	1
2021-03-05	Security	Other - Security	f	ar	1
2021-03-05	Security	Other - Security	m	ar	4
2021-03-05	Security	Other - Security	f	ar	4
2021-03-05	Security	Other - Security	m	ar	3
2021-03-05	Security	Other - Security	m	ar	1
2021-03-05	Corruption	Other - Corruption	f	ar	1
2021-03-05	Corruption	Other - Corruption	m	ar	2
2021-03-05	Services	Other - Services	m	ar	1
2021-03-06	Security	Other - Security	m	ar	3
2021-03-06	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-03-07	Security	Other - Security	f	ar	1
2021-03-07	Security	Other - Security	m	ar	1
2021-03-07	Corruption	Other - Corruption	f	ar	1
2021-03-07	Corruption	Other - Corruption	m	ar	1
2021-03-08	Security	Other - Security	f	ar	1
2021-03-08	Corruption	Other - Corruption	m	ar	1
2021-03-08	Services	Other - Services	m	ar	1
2021-03-08	Governance	Other - Governance	f	ar	1
2021-03-09	Security	Other - Security	m	ar	2
2021-03-09	Security	Other - Security	f	ar	2
2021-03-09	Security	Other - Security	m	ar	1
2021-03-09	Corruption	Other - Corruption	m	ar	2
2021-03-10	Security	Other - Security	m	ar	2
2021-03-10	Security	Other - Security	m	ar	1
2021-03-10	Corruption	Other - Corruption	m	ar	1
2021-03-10	Governance	Other - Governance	f	ar	1
2021-03-11	Corruption	Other - Corruption	f	ar	1
2021-03-11	Corruption	Other - Corruption	m	ar	2
2021-03-11	Services	Other - Services	f	ar	1
2021-03-12	Security	Other - Security	f	ar	1
2021-03-12	Security	Other - Security	m	ar	2
2021-03-12	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-03-12	Security	Other - Security	m	ar	1
2021-03-12	Corruption	Other - Corruption	m	ar	1
2021-03-13	Security	Other - Security	f	ar	1
2021-03-13	Security	Other - Security	m	ar	1
2021-03-13	Corruption	Other - Corruption	f	ar	1
2021-03-13	Corruption	Other - Corruption	m	ar	1
2021-03-14	Security	Other - Security	m	ar	1
2021-03-14	Corruption	Other - Corruption	f	ar	2
2021-03-14	Corruption	Other - Corruption	m	ar	1
2021-03-15	Security	Other - Security	m	ar	1
2021-03-15	Corruption	Other - Corruption	f	ar	2
2021-03-15	Corruption	Other - Corruption	m	ar	4
2021-03-15	Services	Collective Action	f	ar	1
2021-03-15	Services	Collective Action	m	ar	1
2021-03-15	Governance	Other - Governance	f	ar	1
2021-03-16	Security	Other - Security	f	ar	1
2021-03-16	Security	Other - Security	f	und	1
2021-03-16	Security	Other - Security	m	ar	1
2021-03-16	Corruption	Other - Corruption	f	ar	1
2021-03-16	Corruption	Other - Corruption	m	ar	2
2021-03-17	Security	Other - Security	m	ar	1
2021-03-17	Corruption	Other - Corruption	m	ar	1
2021-03-18	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-03-18	Security	Other - Security	m	ar	1
2021-03-18	Corruption	Other - Corruption	m	ar	1
2021-03-18	Services	Divine Intervention	f	ar	1
2021-03-18	Economy	Other - Economy	m	ar	1
2021-03-19	Security	Other - Security	m	ar	1
2021-03-19	Corruption	Other - Corruption	f	ar	2
2021-03-19	Corruption	Other - Corruption	m	ar	2
2021-03-19	Services	Other - Services	m	ar	2
2021-03-19	Services	Leadership	f	ar	1
2021-03-19	Economy	Other - Economy	m	ar	1
2021-03-19	Governance	Other - Governance	m	ar	2
2021-03-20	Security	Other - Security	m	ar	2
2021-03-20	Security	Other - Security	m	ar	1
2021-03-20	Services	Collective Action	m	ar	1
2021-03-21	Corruption	Other - Corruption	m	ar	1
2021-03-21	Services	Other - Services	m	ar	1
2021-03-22	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-03-22	Security	Other - Security	m	ar	1
2021-03-22	Corruption	Other - Corruption	f	ar	1
2021-03-23	Security	Other - Security	m	ar	1
2021-03-24	Corruption	Other - Corruption	f	ar	1
2021-03-24	Corruption	Other - Corruption	m	ar	1
2021-03-24	Governance	Other - Governance	m	ar	1
2021-03-25	Security	Other - Security	f	ar	1
2021-03-25	Security	Other - Security	m	ar	2
2021-03-25	Security	Hopeless/Negative/Pessimistic	m	ar	3
2021-03-25	Security	Other - Security	m	ar	1
2021-03-25	Corruption	Other - Corruption	f	ar	1
2021-03-26	Security	Hopeless/Negative/Pessimistic	f	ar	1
2021-03-26	Security	Other - Security	m	ar	1
2021-03-26	Security	Other - Security	m	ar	1
2021-03-26	Services	Other - Services	m	ar	1
2021-03-27	Security	Other - Security	m	ar	1
2021-03-27	Corruption	Other - Corruption	f	ar	1
2021-03-27	Corruption	Other - Corruption	m	ar	1
2021-03-27	Corruption	Other - Corruption	m	ar	1
2021-03-28	Security	Other - Security	m	ar	3
2021-03-28	Security	Other - Security	m	ar	1
2021-03-28	Security	Other - Security	m	ar	1
2021-03-28	Corruption	Other - Corruption	f	ar	1
2021-03-28	Corruption	Other - Corruption	m	ar	1
2021-03-28	Corruption	Other - Corruption	m	ar	1
2021-03-29	Corruption	Other - Corruption	m	ar	2
2021-03-29	Services	Other - Services	m	ar	1
2021-03-29	Economy	Other - Economy	m	ar	1
2021-03-30	Security	Other - Security	m	ar	1
2021-03-30	Security	Other - Security	f	ar	1
2021-03-30	Corruption	Other - Corruption	f	ar	2
2021-03-30	Corruption	Other - Corruption	m	ar	2
2021-03-31	Security	Other - Security	f	ar	4
2021-03-31	Security	Other - Security	m	ar	1
2021-03-31	Corruption	Other - Corruption	f	ar	7
2021-03-31	Corruption	Other - Corruption	m	ar	2
2021-03-31	Services	Other - Services	f	ar	1
2021-03-31	Services	Other - Services	m	ar	1
2021-02-01	Security	Other - Security	f	ar	2
2021-02-01	Security	Other - Security	m	ar	1
2021-02-01	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-02-01	Corruption	Other - Corruption	f	ar	2
2021-02-01	Corruption	Other - Corruption	m	ar	3
2021-02-01	Services	Other - Services	m	ar	1
2021-02-02	Security	Other - Security	m	ar	2
2021-02-02	Security	Other - Security	m	ar	1
2021-02-02	Security	Other - Security	m	ar	1
2021-02-02	Corruption	Other - Corruption	f	ar	1
2021-02-02	Governance	Other - Governance	m	ar	1
2021-02-03	Security	Other - Security	m	ar	1
2021-02-03	Corruption	Other - Corruption	f	ar	1
2021-02-03	Corruption	Other - Corruption	m	ar	2
2021-02-04	Security	Other - Security	m	ar	1
2021-02-04	Security	Other - Security	m	ar	1
2021-02-05	Security	Other - Security	m	ar	4
2021-02-06	Security	Other - Security	m	ar	1
2021-02-06	Corruption	Other - Corruption	m	ar	1
2021-02-07	Security	Other - Security	f	ar	1
2021-02-07	Security	Other - Security	m	ar	1
2021-02-07	Security	Other - Security	m	ar	1
2021-02-07	Corruption	Other - Corruption	m	ar	1
2021-02-08	Security	Other - Security	f	ar	1
2021-02-08	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-02-08	Corruption	Other - Corruption	m	ar	1
2021-02-08	Services	Other - Services	m	ar	1
2021-02-08	Governance	Other - Governance	m	ar	1
2021-02-09	Corruption	Other - Corruption	f	ar	1
2021-02-10	Security	Other - Security	m	ar	1
2021-02-10	Corruption	Other - Corruption	m	ar	1
2021-02-11	Security	Other - Security	m	ar	1
2021-02-11	Corruption	Other - Corruption	f	ar	1
2021-02-11	Corruption	Other - Corruption	m	ar	1
2021-02-12	Security	Other - Security	m	ar	1
2021-02-12	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-02-12	Corruption	Other - Corruption	m	ar	1
2021-02-13	Corruption	Other - Corruption	m	ar	1
2021-02-14	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-02-14	Corruption	Other - Corruption	m	ar	2
2021-02-15	Security	Other - Security	m	ar	1
2021-02-15	Corruption	Other - Corruption	f	en	1
2021-02-15	Corruption	Other - Corruption	m	ar	3
2021-02-16	Security	Other - Security	m	ar	1
2021-02-16	Corruption	Other - Corruption	m	ar	1
2021-02-17	Security	Other - Security	f	ar	1
2021-02-17	Security	Other - Security	m	ar	1
2021-02-17	Corruption	Other - Corruption	f	ar	1
2021-02-18	Security	Other - Security	m	ar	1
2021-02-18	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-02-18	Corruption	Other - Corruption	m	ar	1
2021-02-19	Security	Other - Security	m	ar	1
2021-02-19	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-02-19	Security	Other - Security	f	ar	1
2021-02-19	Corruption	Other - Corruption	m	ar	1
2021-02-20	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-02-20	Security	Other - Security	m	ar	1
2021-02-20	Corruption	Other - Corruption	f	ar	10
2021-02-20	Corruption	Other - Corruption	m	ar	5
2021-02-21	Security	Other - Security	f	ar	1
2021-02-21	Corruption	Other - Corruption	m	ar	1
2021-02-21	Economy	Other - Economy	m	ar	1
2021-02-22	Security	Other - Security	m	ar	2
2021-02-22	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-02-22	Corruption	Other - Corruption	f	ar	1
2021-02-22	Corruption	Other - Corruption	m	ar	1
2021-02-22	Corruption	Other - Corruption	m	ar	1
2021-02-22	Services	Other - Services	m	ar	1
2021-02-22	Governance	Other - Governance	f	ar	1
2021-02-22	Governance	Other - Governance	m	ar	1
2021-02-23	Security	Other - Security	m	ar	2
2021-02-23	Corruption	Other - Corruption	f	ar	1
2021-02-23	Corruption	Other - Corruption	m	ar	3
2021-02-24	Corruption	Other - Corruption	f	ar	1
2021-02-25	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-02-25	Security	Other - Security	f	ar	1
2021-02-25	Corruption	Other - Corruption	f	ar	1
2021-02-25	Corruption	Other - Corruption	m	ar	2
2021-02-26	Security	Other - Security	f	ar	1
2021-02-26	Security	Other - Security	m	ar	8
2021-02-26	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-02-26	Security	Other - Security	f	ar	1
2021-02-26	Security	Other - Security	f	ar	3
2021-02-26	Corruption	Other - Corruption	f	ar	5
2021-02-26	Corruption	Other - Corruption	m	ar	7
2021-02-26	Corruption	Other - Corruption	m	ar	1
2021-02-26	Services	Other - Services	f	ar	1
2021-02-26	Services	Other - Services	m	ar	3
2021-02-26	Governance	Other - Governance	m	ar	1
2021-02-27	Security	Other - Security	m	ar	2
2021-02-27	Security	Other - Security	m	ar	1
2021-02-27	Security	Other - Security	m	ar	2
2021-02-27	Corruption	Other - Corruption	m	ar	10
2021-02-27	Services	Other - Services	f	ar	1
2021-02-27	Services	Other - Services	m	ar	3
2021-02-28	Security	Other - Security	m	ar	1
2021-02-28	Security	Other - Security	m	ar	1
2021-02-28	Corruption	Other - Corruption	f	ar	1
2021-02-28	Governance	Other - Governance	f	ar	1
2021-01-01	Security	Other - Security	m	ar	1
2021-01-01	Security	Other - Security	f	ar	1
2021-01-01	Corruption	Other - Corruption	f	ar	1
2021-01-01	Corruption	Other - Corruption	m	ar	1
2021-01-02	Security	Other - Security	f	ar	1
2021-01-02	Security	Other - Security	m	ar	4
2021-01-02	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-01-02	Security	Other - Security	m	ar	2
2021-01-03	Security	Other - Security	f	ar	1
2021-01-03	Security	Other - Security	m	ar	1
2021-01-03	Corruption	Other - Corruption	m	ar	2
2021-01-05	Security	Other - Security	m	ar	1
2021-01-05	Security	Hopeful/Positive/Optimistic	m	ar	3
2021-01-05	Corruption	Other - Corruption	f	ar	1
2021-01-05	Corruption	Other - Corruption	m	ar	1
2021-01-06	Security	Other - Security	m	ar	2
2021-01-06	Security	Other - Security	m	ar	1
2021-01-06	Security	Other - Security	f	ar	1
2021-01-06	Corruption	Other - Corruption	m	ar	1
2021-01-06	Governance	Other - Governance	m	ar	1
2021-01-07	Governance	Other - Governance	m	ar	1
2021-01-08	Security	Other - Security	f	ar	1
2021-01-08	Corruption	Other - Corruption	m	ar	1
2021-01-09	Security	Other - Security	m	ar	1
2021-01-09	Security	Other - Security	f	ar	1
2021-01-09	Corruption	Other - Corruption	f	ar	1
2021-01-09	Corruption	Other - Corruption	m	ar	1
2021-01-10	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-01-10	Security	Hopeful/Positive/Optimistic	m	ar	3
2021-01-10	Security	Other - Security	m	ar	1
2021-01-10	Corruption	Other - Corruption	m	ar	1
2021-01-11	Security	Other - Security	m	ar	4
2021-01-11	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-01-11	Security	Other - Security	f	ar	1
2021-01-11	Security	Other - Security	m	ar	1
2021-01-11	Corruption	Other - Corruption	m	ar	1
2021-01-11	Services	Other - Services	m	ar	1
2021-01-11	Services	Other - Services	f	ar	1
2021-01-11	Governance	Other - Governance	m	ar	1
2021-01-12	Security	Other - Security	m	ar	1
2021-01-12	Security	Other - Security	f	ar	1
2021-01-12	Corruption	Other - Corruption	f	ar	1
2021-01-12	Corruption	Other - Corruption	m	ar	1
2021-01-13	Corruption	Other - Corruption	m	ar	1
2021-01-14	Security	Other - Security	m	ar	2
2021-01-15	Corruption	Other - Corruption	m	ar	2
2021-01-15	Governance	Other - Governance	m	ar	1
2021-01-16	Security	Other - Security	m	ar	1
2021-01-16	Corruption	Other - Corruption	m	ar	2
2021-01-16	Governance	Other - Governance	f	ar	1
2021-01-16	Governance	Other - Governance	m	ar	1
2021-01-17	Corruption	Other - Corruption	m	ar	2
2021-01-18	Security	Other - Security	m	ar	1
2021-01-18	Corruption	Other - Corruption	f	ar	1
2021-01-18	Corruption	Other - Corruption	m	ar	1
2021-01-18	Governance	Other - Governance	m	ar	1
2021-01-19	Security	Other - Security	m	ar	2
2021-01-19	Corruption	Other - Corruption	m	ar	1
2021-01-20	Security	Other - Security	f	ar	1
2021-01-20	Security	Other - Security	m	ar	1
2021-01-20	Corruption	Other - Corruption	m	ar	3
2021-01-20	Economy	Other - Economy	m	ar	1
2021-01-20	Governance	Other - Governance	f	ar	1
2021-01-21	Security	Other - Security	m	ar	4
2021-01-21	Security	Hopeful/Positive/Optimistic	f	ar	1
2021-01-21	Security	Other - Security	m	ar	1
2021-01-21	Corruption	Other - Corruption	f	ar	2
2021-01-21	Governance	Other - Governance	m	ar	1
2021-01-22	Security	Other - Security	f	ar	1
2021-01-22	Security	Hopeless/Negative/Pessimistic	f	ar	1
2021-01-22	Corruption	Other - Corruption	f	ar	1
2021-01-22	Corruption	Other - Corruption	m	ar	1
2021-01-23	Security	Other - Security	f	ar	1
2021-01-23	Security	Other - Security	m	ar	1
2021-01-23	Security	Other - Security	m	ar	3
2021-01-23	Corruption	Other - Corruption	f	ar	1
2021-01-23	Corruption	Other - Corruption	m	ar	7
2021-01-24	Security	Other - Security	f	ar	1
2021-01-24	Security	Other - Security	m	ar	3
2021-01-24	Corruption	Other - Corruption	f	ar	2
2021-01-24	Corruption	Other - Corruption	m	ar	5
2021-01-25	Security	Other - Security	f	ar	4
2021-01-25	Security	Other - Security	m	ar	2
2021-01-26	Security	Other - Security	m	ar	2
2021-01-26	Services	Other - Services	f	ar	1
2021-01-26	Governance	Other - Governance	m	ar	1
2021-01-27	Corruption	Other - Corruption	m	ar	1
2021-01-28	Corruption	Other - Corruption	f	ar	1
2021-01-28	Corruption	Other - Corruption	m	ar	1
2021-01-29	Security	Other - Security	f	ar	1
2021-01-29	Security	Other - Security	m	ar	1
2021-01-29	Governance	Other - Governance	m	ar	1
2021-01-30	Corruption	Other - Corruption	m	ar	1
2021-01-30	Corruption	Other - Corruption	f	ar	1
2021-01-30	Corruption	Other - Corruption	m	ar	9
2021-01-30	Services	Other - Services	m	ar	1
2021-01-31	Corruption	Other - Corruption	m	ar	1
2021-01-31	Corruption	Other - Corruption	m	ar	2
2020-12-01	Security	Other - Security	m	ar	3
2020-12-01	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-12-01	Security	Other - Security	m	ar	3
2020-12-01	Corruption	Other - Corruption	f	ar	1
2020-12-01	Corruption	Other - Corruption	m	ar	2
2020-12-01	Services	Other - Services	m	ar	1
2020-12-02	Security	Other - Security	m	ar	2
2020-12-02	Security	Other - Security	m	ar	1
2020-12-02	Security	Other - Security	m	ar	1
2020-12-02	Corruption	Other - Corruption	f	ar	1
2020-12-02	Corruption	Other - Corruption	m	ar	7
2020-12-02	Services	Other - Services	m	ar	1
2020-12-03	Security	Other - Security	m	ar	4
2020-12-03	Corruption	Other - Corruption	m	ar	2
2020-12-03	Corruption	Active-agentic	f	ar	1
2020-12-03	Governance	Other - Governance	f	ar	1
2020-12-04	Security	Other - Security	f	ar	1
2020-12-04	Security	Other - Security	m	ar	2
2020-12-04	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-12-04	Security	Other - Security	m	ar	1
2020-12-04	Governance	Other - Governance	f	ar	1
2020-12-05	Security	Other - Security	m	ar	2
2020-12-05	Corruption	Other - Corruption	m	ar	2
2020-12-06	Security	Other - Security	f	ar	1
2020-12-06	Security	Other - Security	m	ar	1
2020-12-06	Corruption	Other - Corruption	f	ar	3
2020-12-06	Corruption	Other - Corruption	m	ar	2
2020-12-07	Security	Other - Security	m	ar	1
