day	macro	dimension	value
2018-01-13	users	kurdish_users	132
2018-01-13	users	kurdish_male_users	53
2018-01-13	users	kurdish_female_users	11
2018-01-13	users	arab_users	7156
2018-01-13	users	arab_male_users	2938
2018-01-13	users	arab_female_users	680
2018-01-14	tweets	male_tweets	20034
2018-01-14	tweets	female_tweets	5453
2018-01-14	tweets	kurdish_tweets	878
2018-01-14	tweets	kurdish_male_tweets	135
2018-01-14	tweets	kurdish_female_tweets	123
2018-01-14	tweets	youth_focused_tweets	124
2018-01-14	users	male_users	3806
2018-01-14	users	female_users	907
2018-01-14	users	influencers_7k_20k	168
2018-01-14	users	influencers_20k_35k	40
2018-01-14	users	influencers_35k_and_above	77
2018-01-14	users	kurdish_users	157
2018-01-14	users	kurdish_male_users	68
2018-01-14	users	kurdish_female_users	16
2018-01-14	users	arab_users	7239
2018-01-14	users	arab_male_users	2964
2018-01-14	users	arab_female_users	670
2018-01-15	tweets	male_tweets	19158
2018-01-15	tweets	female_tweets	5433
2018-01-15	tweets	kurdish_tweets	898
2018-01-15	tweets	kurdish_male_tweets	136
2018-01-15	tweets	kurdish_female_tweets	137
2018-01-15	tweets	youth_focused_tweets	109
2018-01-15	users	male_users	3909
2018-01-15	users	female_users	948
2018-01-15	users	influencers_7k_20k	173
2018-01-15	users	influencers_20k_35k	45
2018-01-15	users	influencers_35k_and_above	83
2018-01-15	users	kurdish_users	157
2018-01-15	users	kurdish_male_users	67
2018-01-15	users	kurdish_female_users	12
2018-01-15	users	arab_users	7510
2018-01-15	users	arab_male_users	3100
2018-01-15	users	arab_female_users	692
2018-01-16	tweets	male_tweets	18748
2018-01-16	tweets	female_tweets	5070
2018-01-16	tweets	kurdish_tweets	830
2018-01-16	tweets	kurdish_male_tweets	92
2018-01-16	tweets	kurdish_female_tweets	147
2018-01-16	tweets	youth_focused_tweets	106
2018-01-16	users	male_users	3676
2018-01-16	users	female_users	866
2018-01-16	users	influencers_7k_20k	164
2018-01-16	users	influencers_20k_35k	46
2018-01-16	users	influencers_35k_and_above	75
2018-01-16	users	kurdish_users	163
2018-01-16	users	kurdish_male_users	56
2018-01-16	users	kurdish_female_users	18
2018-01-16	users	arab_users	6898
2018-01-16	users	arab_male_users	2821
2018-01-16	users	arab_female_users	634
2018-01-17	tweets	male_tweets	19650
2018-01-17	tweets	female_tweets	5205
2018-01-17	tweets	kurdish_tweets	803
2018-01-17	tweets	kurdish_male_tweets	104
2018-01-17	tweets	kurdish_female_tweets	123
2018-01-17	tweets	youth_focused_tweets	100
2018-01-17	users	male_users	3603
2018-01-17	users	female_users	863
2018-01-17	users	influencers_7k_20k	158
2018-01-17	users	influencers_20k_35k	46
2018-01-17	users	influencers_35k_and_above	72
2018-01-17	users	kurdish_users	152
2018-01-17	users	kurdish_male_users	58
2018-01-17	users	kurdish_female_users	12
2018-01-17	users	arab_users	6707
2018-01-17	users	arab_male_users	2716
2018-01-17	users	arab_female_users	632
2018-01-18	tweets	male_tweets	17718
2018-01-18	tweets	female_tweets	4726
2018-01-18	tweets	kurdish_tweets	697
2018-01-18	tweets	kurdish_male_tweets	91
2018-01-18	tweets	kurdish_female_tweets	91
2018-01-18	tweets	youth_focused_tweets	103
2018-01-18	users	male_users	3416
2018-01-18	users	female_users	849
2018-01-18	users	influencers_7k_20k	155
2018-01-18	users	influencers_20k_35k	40
2018-01-18	users	influencers_35k_and_above	76
2018-01-18	users	kurdish_users	136
2018-01-18	users	kurdish_male_users	54
2018-01-18	users	kurdish_female_users	9
2018-01-18	users	arab_users	6437
2018-01-18	users	arab_male_users	2583
2018-01-18	users	arab_female_users	635
2018-01-19	tweets	male_tweets	15851
2018-01-19	tweets	female_tweets	4271
2018-01-19	tweets	kurdish_tweets	589
2018-01-19	tweets	kurdish_male_tweets	83
2018-01-19	tweets	kurdish_female_tweets	92
2018-01-19	tweets	youth_focused_tweets	123
2018-01-19	users	male_users	3522
2018-01-19	users	female_users	910
2018-01-19	users	influencers_7k_20k	152
2018-01-19	users	influencers_20k_35k	42
2018-01-19	users	influencers_35k_and_above	68
2018-01-19	users	kurdish_users	131
2018-01-19	users	kurdish_male_users	49
2018-01-19	users	kurdish_female_users	11
2018-01-19	users	arab_users	6486
2018-01-19	users	arab_male_users	2645
2018-01-19	users	arab_female_users	663
2018-01-20	tweets	male_tweets	15598
2018-01-20	tweets	female_tweets	4311
2018-01-20	tweets	kurdish_tweets	733
2018-01-20	tweets	kurdish_male_tweets	88
2018-01-20	tweets	kurdish_female_tweets	122
2018-01-20	tweets	youth_focused_tweets	89
2018-01-20	users	male_users	3350
2018-01-20	users	female_users	859
2018-01-20	users	influencers_7k_20k	149
2018-01-20	users	influencers_20k_35k	45
2018-01-20	users	influencers_35k_and_above	76
2018-01-20	users	kurdish_users	150
2018-01-20	users	kurdish_male_users	47
2018-01-20	users	kurdish_female_users	10
2018-01-20	users	arab_users	6305
2018-01-20	users	arab_male_users	2550
2018-01-20	users	arab_female_users	625
2018-01-21	tweets	male_tweets	17276
2018-01-21	tweets	female_tweets	4304
2018-01-21	tweets	kurdish_tweets	849
2018-01-21	tweets	kurdish_male_tweets	97
2018-01-21	tweets	kurdish_female_tweets	131
2018-01-21	tweets	youth_focused_tweets	124
2018-01-21	users	male_users	3486
2018-01-21	users	female_users	783
2018-01-21	users	influencers_7k_20k	151
2018-01-21	users	influencers_20k_35k	42
2018-01-21	users	influencers_35k_and_above	78
2018-01-21	users	kurdish_users	158
2018-01-21	users	kurdish_male_users	57
2018-01-21	users	kurdish_female_users	13
2018-01-21	users	arab_users	6409
2018-01-21	users	arab_male_users	2650
2018-01-21	users	arab_female_users	576
2018-01-22	tweets	male_tweets	16303
2018-01-22	tweets	female_tweets	4454
2018-01-22	tweets	kurdish_tweets	834
2018-01-22	tweets	kurdish_male_tweets	118
2018-01-22	tweets	kurdish_female_tweets	133
2018-01-22	tweets	youth_focused_tweets	133
2018-01-22	users	male_users	3471
2018-01-22	users	female_users	828
2018-01-22	users	influencers_7k_20k	157
2018-01-22	users	influencers_20k_35k	42
2018-01-22	users	influencers_35k_and_above	75
2018-01-22	users	kurdish_users	148
2018-01-22	users	kurdish_male_users	55
2018-01-22	users	kurdish_female_users	11
2018-01-22	users	arab_users	6464
2018-01-22	users	arab_male_users	2648
2018-01-22	users	arab_female_users	589
2018-01-23	tweets	male_tweets	16653
2018-01-23	tweets	female_tweets	4964
2018-01-23	tweets	kurdish_tweets	760
2018-01-23	tweets	kurdish_male_tweets	97
2018-01-23	tweets	kurdish_female_tweets	134
2018-01-23	tweets	youth_focused_tweets	98
2018-01-23	users	male_users	3488
2018-01-23	users	female_users	853
2018-01-23	users	influencers_7k_20k	141
2018-01-23	users	influencers_20k_35k	45
2018-01-23	users	influencers_35k_and_above	68
2018-01-23	users	kurdish_users	150
2018-01-23	users	kurdish_male_users	54
2018-01-23	users	kurdish_female_users	16
2018-01-23	users	arab_users	6454
2018-01-23	users	arab_male_users	2614
2018-01-23	users	arab_female_users	621
2018-01-24	tweets	male_tweets	17088
2018-01-24	tweets	female_tweets	4701
2018-01-24	tweets	kurdish_tweets	812
2018-01-24	tweets	kurdish_male_tweets	137
2018-01-24	tweets	kurdish_female_tweets	142
2018-01-24	tweets	youth_focused_tweets	77
2018-01-24	users	male_users	3335
2018-01-24	users	female_users	839
2018-01-24	users	influencers_7k_20k	144
2018-01-24	users	influencers_20k_35k	38
2018-01-24	users	influencers_35k_and_above	73
2018-01-24	users	kurdish_users	160
2018-01-24	users	kurdish_male_users	63
2018-01-24	users	kurdish_female_users	13
2018-01-24	users	arab_users	6186
2018-01-24	users	arab_male_users	2507
2018-01-24	users	arab_female_users	599
2018-01-25	tweets	male_tweets	17022
2018-01-25	tweets	female_tweets	4888
2018-01-25	tweets	kurdish_tweets	786
2018-01-25	tweets	kurdish_male_tweets	77
2018-01-25	tweets	kurdish_female_tweets	137
2018-01-25	tweets	youth_focused_tweets	75
2018-01-25	users	male_users	3241
2018-01-25	users	female_users	842
2018-01-25	users	influencers_7k_20k	157
2018-01-25	users	influencers_20k_35k	38
2018-01-25	users	influencers_35k_and_above	71
2018-01-25	users	kurdish_users	139
2018-01-25	users	kurdish_male_users	37
2018-01-25	users	kurdish_female_users	17
2018-01-25	users	arab_users	6113
2018-01-25	users	arab_male_users	2438
2018-01-25	users	arab_female_users	611
2018-01-26	tweets	male_tweets	19553
2018-01-26	tweets	female_tweets	5227
2018-01-26	tweets	kurdish_tweets	560
2018-01-26	tweets	kurdish_male_tweets	82
2018-01-26	tweets	kurdish_female_tweets	72
2018-01-26	tweets	youth_focused_tweets	85
2018-01-26	users	male_users	3608
2018-01-26	users	female_users	876
2018-01-26	users	influencers_7k_20k	156
2018-01-26	users	influencers_20k_35k	49
2018-01-26	users	influencers_35k_and_above	69
2018-01-26	users	kurdish_users	118
2018-01-26	users	kurdish_male_users	41
2018-01-26	users	kurdish_female_users	11
2018-01-26	users	arab_users	6604
2018-01-26	users	arab_male_users	2720
2018-01-26	users	arab_female_users	634
2018-01-27	tweets	male_tweets	18368
2018-01-27	tweets	female_tweets	6372
2018-01-27	tweets	kurdish_tweets	742
2018-01-27	tweets	kurdish_male_tweets	89
2018-01-27	tweets	kurdish_female_tweets	99
2018-01-27	tweets	youth_focused_tweets	103
2018-01-27	users	male_users	3589
2018-01-27	users	female_users	868
2018-01-27	users	influencers_7k_20k	146
2018-01-27	users	influencers_20k_35k	42
2018-01-27	users	influencers_35k_and_above	69
2018-01-27	users	kurdish_users	130
2018-01-27	users	kurdish_male_users	47
2018-01-27	users	kurdish_female_users	12
2018-01-27	users	arab_users	6632
2018-01-27	users	arab_male_users	2755
2018-01-27	users	arab_female_users	625
2018-01-28	tweets	male_tweets	18807
2018-01-28	tweets	female_tweets	5520
2018-01-28	tweets	kurdish_tweets	760
2018-01-28	tweets	kurdish_male_tweets	76
2018-01-28	tweets	kurdish_female_tweets	110
2018-01-28	tweets	youth_focused_tweets	78
2018-01-28	users	male_users	3487
2018-01-28	users	female_users	880
2018-01-28	users	influencers_7k_20k	157
2018-01-28	users	influencers_20k_35k	43
2018-01-28	users	influencers_35k_and_above	83
2018-01-28	users	kurdish_users	140
2018-01-28	users	kurdish_male_users	43
2018-01-28	users	kurdish_female_users	19
2018-01-28	users	arab_users	6530
2018-01-28	users	arab_male_users	2648
2018-01-28	users	arab_female_users	635
2018-01-29	tweets	male_tweets	17978
2018-01-29	tweets	female_tweets	5057
2018-01-29	tweets	kurdish_tweets	820
2018-01-29	tweets	kurdish_male_tweets	100
2018-01-29	tweets	kurdish_female_tweets	113
2018-01-29	tweets	youth_focused_tweets	117
2018-01-29	users	male_users	3253
2018-01-29	users	female_users	829
2018-01-29	users	influencers_7k_20k	151
2018-01-29	users	influencers_20k_35k	46
2018-01-29	users	influencers_35k_and_above	76
2018-01-29	users	kurdish_users	138
2018-01-29	users	kurdish_male_users	44
2018-01-29	users	kurdish_female_users	14
2018-01-29	users	arab_users	6270
2018-01-29	users	arab_male_users	2467
2018-01-29	users	arab_female_users	607
2018-01-30	tweets	male_tweets	19812
2018-01-30	tweets	female_tweets	5300
2018-01-30	tweets	kurdish_tweets	762
2018-01-30	tweets	kurdish_male_tweets	114
2018-01-30	tweets	kurdish_female_tweets	103
2018-01-30	tweets	youth_focused_tweets	144
2018-01-30	users	male_users	3394
2018-01-30	users	female_users	851
2018-01-30	users	influencers_7k_20k	164
2018-01-30	users	influencers_20k_35k	45
2018-01-30	users	influencers_35k_and_above	74
2018-01-30	users	kurdish_users	146
2018-01-30	users	kurdish_male_users	58
2018-01-30	users	kurdish_female_users	11
2018-01-30	users	arab_users	6395
2018-01-30	users	arab_male_users	2616
2018-01-30	users	arab_female_users	616
2018-04-01	tweets	male_tweets	16630
2018-04-01	tweets	female_tweets	4389
2018-04-01	tweets	kurdish_tweets	873
2018-04-01	tweets	kurdish_male_tweets	175
2018-04-01	tweets	kurdish_female_tweets	41
2018-04-01	tweets	youth_focused_tweets	111
2018-04-01	users	male_users	3015
2018-04-01	users	female_users	736
2018-04-01	users	influencers_7k_20k	157
2018-04-01	users	influencers_20k_35k	42
2018-04-01	users	influencers_35k_and_above	81
2018-04-01	users	kurdish_users	166
2018-04-01	users	kurdish_male_users	60
2018-04-01	users	kurdish_female_users	14
2018-04-01	users	arab_users	5630
2018-04-01	users	arab_male_users	2271
2018-04-01	users	arab_female_users	527
2018-04-02	tweets	male_tweets	18511
2018-04-02	tweets	female_tweets	4787
2018-04-02	tweets	kurdish_tweets	853
2018-04-02	tweets	kurdish_male_tweets	158
2018-04-02	tweets	kurdish_female_tweets	42
2018-04-02	tweets	youth_focused_tweets	115
2018-04-02	users	male_users	3390
2018-04-02	users	female_users	808
2018-04-02	users	influencers_7k_20k	167
2018-04-02	users	influencers_20k_35k	43
2018-04-02	users	influencers_35k_and_above	70
2018-04-02	users	kurdish_users	168
2018-04-02	users	kurdish_male_users	64
2018-04-02	users	kurdish_female_users	16
2018-04-02	users	arab_users	6229
2018-04-02	users	arab_male_users	2522
2018-04-02	users	arab_female_users	602
2018-04-03	tweets	male_tweets	19746
2018-04-03	tweets	female_tweets	5316
2018-04-03	tweets	kurdish_tweets	794
2018-04-03	tweets	kurdish_male_tweets	157
2018-04-03	tweets	kurdish_female_tweets	31
2018-04-03	tweets	youth_focused_tweets	340
2018-04-03	users	male_users	3365
2018-04-03	users	female_users	817
2018-04-03	users	influencers_7k_20k	162
2018-04-03	users	influencers_20k_35k	43
2018-04-03	users	influencers_35k_and_above	72
2018-04-03	users	kurdish_users	160
2018-04-03	users	kurdish_male_users	63
2018-04-03	users	kurdish_female_users	12
2018-04-03	users	arab_users	6299
2018-04-03	users	arab_male_users	2542
2018-04-03	users	arab_female_users	624
2018-04-04	tweets	male_tweets	18666
2018-04-04	tweets	female_tweets	5175
2018-04-04	tweets	kurdish_tweets	679
2018-04-04	tweets	kurdish_male_tweets	157
2018-04-04	tweets	kurdish_female_tweets	39
2018-04-04	tweets	youth_focused_tweets	190
2018-04-04	users	male_users	3263
2018-04-04	users	female_users	808
2018-04-04	users	influencers_7k_20k	169
2018-04-04	users	influencers_20k_35k	45
2018-04-04	users	influencers_35k_and_above	72
2018-04-04	users	kurdish_users	133
2018-04-04	users	kurdish_male_users	51
2018-04-04	users	kurdish_female_users	12
2018-04-04	users	arab_users	6233
2018-04-04	users	arab_male_users	2495
2018-04-04	users	arab_female_users	616
2018-04-05	tweets	male_tweets	17742
2018-04-05	tweets	female_tweets	5117
2018-04-05	tweets	kurdish_tweets	651
2018-04-05	tweets	kurdish_male_tweets	104
2018-04-05	tweets	kurdish_female_tweets	34
2018-04-05	tweets	youth_focused_tweets	405
2018-04-05	users	male_users	3152
2018-04-05	users	female_users	789
2018-04-05	users	influencers_7k_20k	166
2018-04-05	users	influencers_20k_35k	42
2018-04-05	users	influencers_35k_and_above	73
2018-04-05	users	kurdish_users	129
2018-04-05	users	kurdish_male_users	48
2018-04-05	users	kurdish_female_users	9
2018-04-05	users	arab_users	5871
2018-04-05	users	arab_male_users	2355
2018-04-05	users	arab_female_users	564
2018-04-06	tweets	male_tweets	17880
2018-04-06	tweets	female_tweets	4843
2018-04-06	tweets	kurdish_tweets	471
2018-04-06	tweets	kurdish_male_tweets	97
2018-04-06	tweets	kurdish_female_tweets	23
2018-04-06	tweets	youth_focused_tweets	477
2018-04-06	users	male_users	3138
2018-04-06	users	female_users	820
2018-04-06	users	influencers_7k_20k	167
2018-04-06	users	influencers_20k_35k	43
2018-04-06	users	influencers_35k_and_above	60
2018-04-06	users	kurdish_users	123
2018-04-06	users	kurdish_male_users	47
2018-04-06	users	kurdish_female_users	10
2018-04-06	users	arab_users	5914
2018-04-06	users	arab_male_users	2348
2018-04-06	users	arab_female_users	611
2018-04-07	tweets	male_tweets	18926
2018-04-07	tweets	female_tweets	5271
2018-04-07	tweets	kurdish_tweets	691
2018-04-07	tweets	kurdish_male_tweets	133
2018-04-07	tweets	kurdish_female_tweets	23
2018-04-07	tweets	youth_focused_tweets	386
2018-04-07	users	male_users	3250
2018-04-07	users	female_users	850
2018-04-07	users	influencers_7k_20k	155
2018-04-07	users	influencers_20k_35k	43
2018-04-07	users	influencers_35k_and_above	72
2018-04-07	users	kurdish_users	136
2018-04-07	users	kurdish_male_users	59
2018-04-07	users	kurdish_female_users	11
2018-04-07	users	arab_users	6168
2018-04-07	users	arab_male_users	2427
2018-04-07	users	arab_female_users	645
2018-04-08	tweets	male_tweets	17746
2018-04-08	tweets	female_tweets	4680
2018-04-08	tweets	kurdish_tweets	721
2018-04-08	tweets	kurdish_male_tweets	142
2018-04-08	tweets	kurdish_female_tweets	29
2018-04-08	tweets	youth_focused_tweets	205
2018-04-08	users	male_users	3126
2018-04-08	users	female_users	767
2018-04-08	users	influencers_7k_20k	167
2018-04-08	users	influencers_20k_35k	37
2018-04-08	users	influencers_35k_and_above	71
2018-04-08	users	kurdish_users	137
2018-04-08	users	kurdish_male_users	45
2018-04-08	users	kurdish_female_users	12
2018-04-08	users	arab_users	5974
2018-04-08	users	arab_male_users	2373
2018-04-08	users	arab_female_users	581
2018-04-09	tweets	male_tweets	17881
2018-04-09	tweets	female_tweets	5286
2018-04-09	tweets	kurdish_tweets	763
2018-04-09	tweets	kurdish_male_tweets	130
2018-04-09	tweets	kurdish_female_tweets	40
2018-04-09	tweets	youth_focused_tweets	172
2018-04-09	users	male_users	3339
2018-04-09	users	female_users	830
2018-04-09	users	influencers_7k_20k	161
2018-04-09	users	influencers_20k_35k	40
2018-04-09	users	influencers_35k_and_above	71
2018-04-09	users	kurdish_users	151
2018-04-09	users	kurdish_male_users	55
2018-04-09	users	kurdish_female_users	14
2018-04-09	users	arab_users	6264
2018-04-09	users	arab_male_users	2524
2018-04-09	users	arab_female_users	603
2018-04-10	tweets	male_tweets	20147
2018-04-10	tweets	female_tweets	5300
2018-04-10	tweets	kurdish_tweets	840
2018-04-10	tweets	kurdish_male_tweets	167
2018-04-10	tweets	kurdish_female_tweets	40
2018-04-10	tweets	youth_focused_tweets	163
2018-04-10	users	male_users	3578
2018-04-10	users	female_users	825
2018-04-10	users	influencers_7k_20k	173
2018-04-10	users	influencers_20k_35k	43
2018-04-10	users	influencers_35k_and_above	75
2018-04-10	users	kurdish_users	168
2018-04-10	users	kurdish_male_users	65
2018-04-10	users	kurdish_female_users	13
2018-04-10	users	arab_users	6665
2018-04-10	users	arab_male_users	2760
2018-04-10	users	arab_female_users	628
2018-04-11	tweets	male_tweets	20385
2018-04-11	tweets	female_tweets	5762
2018-04-11	tweets	kurdish_tweets	879
2018-04-11	tweets	kurdish_male_tweets	196
2018-04-11	tweets	kurdish_female_tweets	41
2018-04-11	tweets	youth_focused_tweets	120
2018-04-11	users	male_users	3806
2018-04-11	users	female_users	853
2018-04-11	users	influencers_7k_20k	167
2018-04-11	users	influencers_20k_35k	49
2018-04-11	users	influencers_35k_and_above	78
2018-04-11	users	kurdish_users	159
2018-04-11	users	kurdish_male_users	61
2018-04-11	users	kurdish_female_users	16
2018-04-11	users	arab_users	6975
2018-04-11	users	arab_male_users	2936
2018-04-11	users	arab_female_users	635
2018-04-12	tweets	male_tweets	19897
2018-04-12	tweets	female_tweets	5448
2018-04-12	tweets	kurdish_tweets	724
2018-04-12	tweets	kurdish_male_tweets	110
2018-04-12	tweets	kurdish_female_tweets	43
2018-04-12	tweets	youth_focused_tweets	83
2018-04-12	users	male_users	3800
2018-04-12	users	female_users	886
2018-04-12	users	influencers_7k_20k	164
2018-04-12	users	influencers_20k_35k	42
2018-04-12	users	influencers_35k_and_above	70
2018-04-12	users	kurdish_users	152
2018-04-12	users	kurdish_male_users	47
2018-04-12	users	kurdish_female_users	14
2018-04-12	users	arab_users	6963
2018-04-12	users	arab_male_users	2877
2018-04-12	users	arab_female_users	662
2018-04-13	tweets	male_tweets	19751
2018-04-13	tweets	female_tweets	5571
2018-04-13	tweets	kurdish_tweets	592
2018-04-13	tweets	kurdish_male_tweets	142
2018-04-13	tweets	kurdish_female_tweets	27
2018-04-13	tweets	youth_focused_tweets	92
2018-04-13	users	male_users	3650
2018-04-13	users	female_users	888
2018-04-13	users	influencers_7k_20k	166
2018-04-13	users	influencers_20k_35k	44
2018-04-13	users	influencers_35k_and_above	66
2018-04-13	users	kurdish_users	143
2018-04-13	users	kurdish_male_users	60
2018-04-13	users	kurdish_female_users	6
2018-04-13	users	arab_users	6723
2018-04-13	users	arab_male_users	2750
2018-04-13	users	arab_female_users	656
2018-04-14	tweets	male_tweets	20579
2018-04-14	tweets	female_tweets	5856
2018-04-14	tweets	kurdish_tweets	750
2018-04-14	tweets	kurdish_male_tweets	182
2018-04-14	tweets	kurdish_female_tweets	37
2018-04-14	tweets	youth_focused_tweets	141
2018-04-14	users	male_users	3832
2018-04-14	users	female_users	921
2018-04-14	users	influencers_7k_20k	178
2018-04-14	users	influencers_20k_35k	43
2018-04-14	users	influencers_35k_and_above	78
2018-04-14	users	kurdish_users	178
2018-04-14	users	kurdish_male_users	78
2018-04-14	users	kurdish_female_users	11
2018-04-14	users	arab_users	7219
2018-04-14	users	arab_male_users	2946
2018-04-14	users	arab_female_users	711
2018-04-15	tweets	male_tweets	18473
2018-04-15	tweets	female_tweets	5259
2018-04-15	tweets	kurdish_tweets	808
2018-04-15	tweets	kurdish_male_tweets	175
2018-04-15	tweets	kurdish_female_tweets	38
2018-04-15	tweets	youth_focused_tweets	122
2018-04-15	users	male_users	3348
2018-04-15	users	female_users	794
2018-04-15	users	influencers_7k_20k	172
2018-04-15	users	influencers_20k_35k	47
2018-04-15	users	influencers_35k_and_above	80
2018-04-15	users	kurdish_users	146
2018-04-15	users	kurdish_male_users	61
2018-04-15	users	kurdish_female_users	10
2018-04-15	users	arab_users	6349
2018-04-15	users	arab_male_users	2550
2018-04-15	users	arab_female_users	597
2018-04-16	tweets	male_tweets	17505
2018-04-16	tweets	female_tweets	5109
2018-04-16	tweets	kurdish_tweets	814
2018-04-16	tweets	kurdish_male_tweets	178
2018-04-16	tweets	kurdish_female_tweets	48
2018-04-16	tweets	youth_focused_tweets	100
2018-04-16	users	male_users	3389
2018-04-16	users	female_users	812
2018-04-16	users	influencers_7k_20k	172
2018-04-16	users	influencers_20k_35k	49
2018-04-16	users	influencers_35k_and_above	72
2018-04-16	users	kurdish_users	170
2018-04-16	users	kurdish_male_users	74
2018-04-16	users	kurdish_female_users	16
2018-04-16	users	arab_users	6385
2018-04-16	users	arab_male_users	2569
2018-04-16	users	arab_female_users	597
2018-04-17	tweets	male_tweets	19135
2018-04-17	tweets	female_tweets	5547
2018-04-17	tweets	kurdish_tweets	697
2018-04-17	tweets	kurdish_male_tweets	146
2018-04-17	tweets	kurdish_female_tweets	37
2018-04-17	tweets	youth_focused_tweets	112
2018-04-17	users	male_users	3383
2018-04-17	users	female_users	809
2018-04-17	users	influencers_7k_20k	173
2018-04-17	users	influencers_20k_35k	44
2018-04-17	users	influencers_35k_and_above	78
2018-04-17	users	kurdish_users	130
2018-04-17	users	kurdish_male_users	53
2018-04-17	users	kurdish_female_users	12
2018-04-17	users	arab_users	6371
2018-04-17	users	arab_male_users	2599
2018-04-17	users	arab_female_users	615
2018-04-18	tweets	male_tweets	19075
2018-04-18	tweets	female_tweets	5531
2018-04-18	tweets	kurdish_tweets	713
2018-04-18	tweets	kurdish_male_tweets	146
2018-04-18	tweets	kurdish_female_tweets	43
2018-04-18	tweets	youth_focused_tweets	131
2018-04-18	users	male_users	3325
2018-04-18	users	female_users	812
2018-04-18	users	influencers_7k_20k	159
2018-04-18	users	influencers_20k_35k	46
2018-04-18	users	influencers_35k_and_above	75
2018-04-18	users	kurdish_users	140
2018-04-18	users	kurdish_male_users	58
2018-04-18	users	kurdish_female_users	14
2018-04-18	users	arab_users	6262
2018-04-18	users	arab_male_users	2516
2018-04-18	users	arab_female_users	593
2018-04-19	tweets	male_tweets	19364
2018-04-19	tweets	female_tweets	5294
2018-04-19	tweets	kurdish_tweets	673
2018-04-19	tweets	kurdish_male_tweets	114
2018-04-19	tweets	kurdish_female_tweets	30
2018-04-19	tweets	youth_focused_tweets	150
2018-04-19	users	male_users	3284
2018-04-19	users	female_users	817
2018-04-19	users	influencers_7k_20k	159
2018-04-19	users	influencers_20k_35k	40
2018-04-19	users	influencers_35k_and_above	80
2018-04-19	users	kurdish_users	138
2018-04-19	users	kurdish_male_users	52
2018-04-19	users	kurdish_female_users	8
2018-04-19	users	arab_users	6216
2018-04-19	users	arab_male_users	2458
2018-04-19	users	arab_female_users	609
2018-04-20	tweets	male_tweets	18321
2018-04-20	tweets	female_tweets	4990
2018-04-20	tweets	kurdish_tweets	510
2018-04-20	tweets	kurdish_male_tweets	109
2018-04-20	tweets	kurdish_female_tweets	32
2018-04-20	tweets	youth_focused_tweets	143
2018-04-20	users	male_users	3398
2018-04-20	users	female_users	848
2018-04-20	users	influencers_7k_20k	169
2018-04-20	users	influencers_20k_35k	44
2018-04-20	users	influencers_35k_and_above	72
2018-04-20	users	kurdish_users	136
2018-04-20	users	kurdish_male_users	61
2018-04-20	users	kurdish_female_users	10
2018-04-20	users	arab_users	6315
2018-04-20	users	arab_male_users	2533
2018-04-20	users	arab_female_users	622
2018-04-21	tweets	male_tweets	19471
